-21	-11	DRAWING	TITLE	FIND	STRIKE	NOTE
X	X	2010015	SCHEMATIC	REF		
						
						
1		1006755-34	CAPACITOR	85		
1		1006750-58	RESISTOR	84		
1		1010652-3	TRANSISTOR	83		
1	1	1010760	TRANSFORMER	82		
2	2	1010747-1	TRANSISTOR	81		
1	1	1010273-1	TRANSISTOR	80		
1	1	1010713-1	TRANSISTOR	79		
2	2	1010806-001	TRANSISTOR	78		
2	2	1010398-3	TRANSISTOR	77		
7	8	1010652-1	TRANSISTOR	76		
1	1	1010342	TRANSISTOR	75		
1	1	1010829-26	DIODE	74		
3	3	1010830-28	DIODE	73		
16	17	1010497	DIODE	72		
1	1	1010830-12	DIODE	71		
1	1	1010831-1	DIODE	70		
1	1	1010830-9	DIODE	69		
1	1	1010830-5	DIODE	68		
12	12	1010385	DIODE	67		
1	1	1010372-15	DIODE	66		
1	1	1006755-53	CAPACITOR	65		
1	1	1006755-133	CAPACITOR	64		
3	3	1006755-118	CAPACITOR	63		
4	4	1006755-69	CAPACITOR	62		
1	1	1010438-103	CAPACITOR	61		
1	1	1006755-79	CAPACITOR	60		
3	3	1006755-122	CAPACITOR	59		
2	2	1010769-001	CAPACITOR	58		
1	1	1006777-18	CAPACITOR	57		
1	1	1010264-29	CAPACITOR	56		
2	2	1006755-134	CAPACITOR	55		
2	2	1006777-31	CAPACITOR	54		
2	2	1010316-1	CAPACITOR	53		
2	2	1006777-16	CAPACITOR	52		
	1	1006755-85	CAPACITOR	51		
1	1	1006750-17	RESISTOR	50		
1	1	1010369-99	RESISTOR	49		
5	5	1006750-32	RESISTOR	48		
3	3	1006750-50	RESISTOR	47		
1	1	1006750-47	RESISTOR	46		
1	1	1010389-73	RESISTOR	45		
5	5	1006750-39	RESISTOR	44		
1	1	1010369-94	RESISTOR	43		
1	1	1010369-100	RESISTOR	42		
1	1	1010604-37	RESISTOR	41		
1	1	1006750-45	RESISTOR	40		
1	1	1006750-36	RESISTOR	39		
2	2	1006802-1	RESISTOR	38		
2	2	1006750-31	RESISTOR	37		
2	2	1010377-314	RESISTOR	36		
2	2	1010377-110	RESISTOR	35		
4	4	1006750-56	RESISTOR	34		
2	2	1006750-18	RESISTOR	33		
2	2	1006750-74	RESISTOR	32		
1	1	1006750-12	RESISTOR	31		
1	1	1006750-51	RESISTOR	30		
1	1	1006750-65	RESISTOR	29		
	1	1006750-62	RESISTOR	28		
1	1	1006750-25	RESISTOR	27		
1	1	2008093-000	TERMINAL, THREADED	26		
AR	AR	1006776-22	INSULATION, SLEEVING	25		
AR	AR	1006776-20	INSULATION, SLEEVING	24		
AR	AR	1006776-21	INSULATION, SLEEVING	23		
AR	AR	1006757-9	WIRE, ELECTRICAL	22		
AR	AR	1006757-8	WIRE, ELECTRICAL	21		
AR	AR	1006757-1	WIRE, ELECTRICAL	20		
1	1	1008025-3	INSULATOR, BUSHING	19		
5	5	1008025-2	INSULATOR, BUSHING	18		
1	1	1008025-1	INSULATOR, BUSHING	17		
2	2	1010618-12	SCREW, BUTTON HEAD	16		
1	1	MS20341-416B	NUT	15		
1	1	2008020-2	INSULATOR, BUSHING	14		
1	1	1008024-3	WASHER, INSULATOR	13		
1	1	1008024-4	WASHER, INSULATOR	12		
1	1	1008071-5	WASHER, FLAT	11		
1	1	1010315-2	TRANSFORMER	10		
AR	AR	MIL-I-15126	INSUL TAPE, TYPE MFT 2.5, 1/2 IN. WIDE	9		
1	1	1008540-15	GASKET	8		
1	1	1008540-14	GASKET	7		
1	1	1008540-6	GASKET	6		
35	35	1006775	INSULATOR, WRAPOST, MALE, MINAT	5		
35	35	1006782-5	CONTACT, WRAPOST, MALE, MINAT	4		
2	2	1008025-4	INSULATOR, BUSHING	3		
1	1	2008374	INSULATOR, TOP	2		
1	1	2008375	HEATSINK	1		In the original drawing, 2007106M (as well as in revisions H through L), configurations -011 and -021 are mistakenly swapped.  That has been corrected here.  The mistake is clear when a comparison is made to drawing 2007106G, the last revision prior to the introduction of configuration -021.
						
X	X	X	PROOFED	REF	X	
