-11	DRAWING	TITLE	FIND	STRIKE
X	2010007	SCHEMATIC	REF	
				
				
				
AR	1010848-2	WIRE, ELECTRICAL NICKEL	44	
2	1008071-9	WASHER, FLAT	43	
1	1010886	TRANSFORMER	42	
1	1010407	TRANSFORMER	41	
1	1008922-2	TRANSISTOR (MATCHED PAIR)	40	
1	1010398-4	TRANSISTOR	39	
2	1010385	DIODE	38	
2	1010264-37	CAPACITOR	37	
1	1010264-13	CAPACITOR	36	
1	1010264-35	CAPACITOR	35	
1	1006750-56	RESISTOR	34	
2	1006750-20	RESISTOR	33	
1	1006750-32	RESISTOR	32	
1	SEE NOTE 24	RESISTOR	31	
1	SEE NOTE 24	RESISTOR	30	
1	1010389-56	RESISTOR	29	
1	SEE NOTE 24	RESISTOR	28	
1	SEE NOTE 24	RESISTOR	27	
1	SEE NOTE 24	RESISTOR	26	
1	1010389-43	RESISTOR	25	
1	SEE NOTE 24	RESISTOR	24	
1	1010389-53	RESISTOR	23	
1	1010389-65	RESISTOR	22	
1	2008093-000	TERMINAL THREADED	21	
1	1008540-12	GASKET	20	
1	1008540-4	GASKET	19	
			18	
AR	1006757-1	WIRE, ELECTRICAL	17	
AR	1006757-23	WIRE, ELECTRICAL	16	
			15	
AR	1006776-21	INSULATION, SLEEVING	14	
AR	1006776-20	INSULATION, SLEEVING	13	
2	1008025-2	INSULATOR, BUSHING	12	
2	1008021-2	BUSHING, INSULATOR	11	
2	1008024-4	WASHER, INSULATOR	10	
2	1008024-3	WASHER, INSULATOR	9	
2	1008071-5	WASHER, FLAT	8	
2	MS20341-4168	NUT	7	
16	1006775	INSULATOR, WRAPOST, MALE, MINIATURE	6	
16	1006782-5	CONTACT, WRAPOST, MALE, MINIATURE	5	
2	1010618-13	SCREW, BUTTON HEAD	4	
			3	
1	2008025	INSULATOR, TOP	2	
1	2008084	HEATSINK	1	
				
X	X	PROOFED	REF	X
