-11	DRAWING	TITLE	FIND	STRIKE
X	2010009	SCHEMATIC	REF	
				
				
AR	1010848-2	WIRE, ELECTRICAL	58	
AR	MIL-I-15126	INSULATION, TAPE MFT 2.5, 1/2 IN. WIDE	57	
1	1008540-15	GASKET	56	
1	2008093-000	TERMINAL, THREADED	55	
1	1010427	REACTOR	54	
1	1010277-004	REACTOR FILTER	53	
2	1006319	TRANSFORMER	52	
1	1010431-000	TRANSISTOR	51	
6	1010397-1	TRANSISTOR	50	
1	1010829-11	DIODE	49	
11	1010385	DIODE	48	
1	1010346-1	DIODE	47	
1	1010375-19	CAPACITOR	46	
1	1010375-18	CAPACITOR	45	
1	1010264-35	CAPACITOR	44	
1	SEE NOTE 9	CAPACITOR	43	
2	1010264-7	CAPACITOR	42	
2	SEE NOTE 9	CAPACITOR	41	
1	1006755-85	CAPACITOR	40	
1	1006755-81	CAPACITOR	39	
1	1006755-69	CAPACITOR	38	
1	1006755-61	CAPACITOR	37	
1	1006760-25	RESISTOR	36	
1	1010369-140	RESISTOR	35	
2	1010369-95	RESISTOR	34	
1	1010369-88	RESISTOR	33	
2	1010364-693	RESISTOR	32	
1	SEE NOTE 9	RESISTOR	31	
1	1010364-465	RESISTOR	30	
2	1010604-38	RESISTOR	29	
1	SEE NOTE 9	RESISTOR	28	
1	1010363-373	RESISTOR	27	
1	1006760-35	RESISTOR	26	
1	1006750-80	RESISTOR	25	
2	1006750-76	RESISTOR	24	
2	1006750-73	RESISTOR	23	
5	1006750-72	RESISTOR	22	
1	1006750-60	RESISTOR	21	
1	1006750-56	RESISTOR	20	
2	1006750-52	RESISTOR	19	
1	1006750-43	RESISTOR	18	
2	1006750-42	RESISTOR	17	
1	1006750-40	RESISTOR	16	
1	1006750-39	RESISTOR	15	
2	1006750-37	RESISTOR	14	
2	1006750-32	RESISTOR	13	
			12	
AR	1006776-21	INSULATION, SLEEVING	11	
AR	1006776-20	INSULATION, SLEEVING	10	
			9	
AR	1006757-1	WIRE, ELECTRICAL	8	
6	1008161-3	SCREW, CAP, SLOTTED HEAD, SPECIAL	7	
3	1015135-019	SPACER, INSULATED	6	
15	1006782-5	CONTACT, WRAPOST, MALE, MINAT	5	
15	1006775	INSULATOR, WRAPOST, MALE, MINAT	4	
1	2008185	WIRING BOARD, BOTTOM	3	
1	2008183	WIRING BOARD, TOP	2	
1	2008191	FRAME	1	
				
X	X	PROOFED	REF	X
