-21	-11	DRAWING	TITLE	FIND	STRIKE
1		2021408	HEATSINK	82	
1		1008969	TRANSISTOR	81	
X		2010791	SCHEMATIC	REF	
2		1010370-001	DIODE	80	
1	1	1008815-1	DIODE	79	
1	1	1006750-47	RESISTOR	78	
	X	2010004	SCHEMATIC	REF	
AR		1010848-2	WIRE, ELECTRICAL	77	
1	1	1006750-8	RESISTOR	76	
1	1	1006750-25	RESISTOR	75	
1	1	1008025-5	INSULATOR, BUSHING	74	
1	1	1008025-2	INSULATOR, BUSHING	73	
1	1	1010353-7	RELAY	72	
1	1	1010710	TRANSFORMER	71	
1	1	1010324	TRANSFORMER	70	
1	1	1008812-1	TRANSISTOR	69	
1	1	1010437	TRANSISTOR	68	
1	1	1008922-1	TRANSISTOR	67	
	1	1010271	TRANSISTOR	66	
1	1	1010270	TRANSISTOR	65	
1	1	1010843-4	TRANSISTOR	64	
1	1	1010252-1	TRANSISTOR	63	
1	1	1008815-9	DIODE	62	
6	8	1010392-1	DIODE	61	
1	1	1010385	DIODE	60	
2	2	1010372-13	DIODE	59	
1	1	1010277-9	REACTOR	58	
1	1	1010277-8	REACTOR	57	
2	2	1010279-252	CAPACITOR	56	
3	3	1010279-119	CAPACITOR	55	
1	1	1010279-108	CAPACITOR	54	
1	1	1010279-106	CAPACITOR	53	
1	1	1010264-17	CAPACITOR	52	
1	1	1010264-13	CAPACITOR	51	
2	2	1010264-9	CAPACITOR	50	
1	1	1010264-7	CAPACITOR	49	
1	1	SEE NOTE 13	CAPACITOR	48	
1	1	1010399-31	RESISTOR	47	
1	1	1010389-94	RESISTOR	46	
1	1	1010389-47	RESISTOR	45	
1	1	1010369-112	RESISTOR	44	
1	1	1010369-98	RESISTOR	43	
				42	
4	4	1010364-501	RESISTOR	41	
2	2	1010278-39	RESISTOR	40	
1	1	1006802-4	RESISTOR	39	
1	1	1006802-3	RESISTOR	38	
1	1	1006802-1	RESISTOR	37	
1	1	1006760-35	RESISTOR	36	
1	1	'1006750-77	RESISTOR	35	
2	2	'1006750-73	RESISTOR	34	
1	1	'1006750-67	RESISTOR	33	
2	2	'1006750-68	RESISTOR	32	
1	1	'1006750-67	RESISTOR	31	
2	2	'1006750-63	RESISTOR	30	
1	1	'1006750-84	RESISTOR	29	
1	1	'1006750-53	RESISTOR	28	
1	1	'1006750-51	RESISTOR	27	
1	1	'1006750-44	RESISTOR	26	
1	1	'1006750-40	RESISTOR	25	
2	1	'1006750-32	RESISTOR	24	
1	1	SEE NOTE 13	RESISTOR	23	
1	1	1008540-11	GASKET	22	
1	1	1008540-12	GASKET	21	
1	1	2008093-000	TERMINAL, THREADED	20	
3	2	MS20341-10B	NUT, HEX	19	
1	2	MS20341-416B	NUT, HEX	18	
1	2	1008071-5	WASHER, FLAT	17	
3	2	1008071-2	WASHER, FLAT	16	
1	2	1008024-4	WASHER, INSULATOR	15	
1	2	1008024-3	WASHER, INSULATOR	14	
6	4	1008024-1	WASHER, INSULATOR	13	
1	2	2008020-2	BUSHING, INSULATOR	12	
3	2	2008020-1	BUSHING, INSULATOR	11	
				10	
AR	AR	1006776-21	INSULATION, SLEEVING	9	
AR	AR	1006776-20	INSULATION, SLEEVING	8	
				7	
AR	AR	1006757-1	WIRE, ELECTRICAL	6	
23	23	1006775	INSULATOR, WRAPOST MALE MINIATURE	5	
23	23	1006782-5	CONTACT, WRAPOST MALE MINIATURE	4	
1	1	2008286	INSULATOR, BOTTOM	3	
1	1	2008285	INSULATOR, TOP	2	
	1	2008315	HEATSINK	1	
					
X	X	X	PROOFED	REF	X
