-11	DRAWING	TITLE	FIND
X	2010082	SCHEMATIC	REF
			
			
			
			
1	1006750-132	RESISTOR	39
AR	1006776-21	INSULATION, SLEEVING	38
AR	1006776-20	INSULATION, SLEEVING	37
AR	1006757-8	WIRE, ELECTRICAL	36
AR	1006757-1	WIRE, ELECTRICAL	35
1	2008093-000	TERMINAL, THREADED	34
6	1008160-1	SCREW, CAP, SLOTTED HEAD	33
3	1015135-015	SPACER, NYLON	32
2	1008540-13	GASKET, CONNECTOR	31
26	1006782-4	CONTACT, WRAPOST – MALE MINIATURE	30
26	1006775	INSULATOR, WRAPOST – MALE MINIATURE	29
AR	1006776-22	INSULATION, SLEEVING	28
1	1010357-1	TRANSISTOR	27
3	1008814-1	TRANSISTOR	26
2	1010397-1	TRANSISTOR	25
1	1010353-7	RELAY	24
1	1008815-17	DIODE	23
1	1008815-9	DIODE	22
1	1010372-11	DIODE	21
14	1010385	DIODE	20
2	1006755-79	CAPACITOR	19
4	1006755-89	CAPACITOR	18
3	1006755-180	CAPACITOR	17
1	SEE NOTE 21	RESISTOR	16
2	106760-39	RESISTOR	15
1	1006750-49	RESISTOR	14
1	1006750-47	RESISTOR	13
3	1006750-39	RESISTOR	12
1	1006750-53	RESISTOR	11
2	1006750-63	RESISTOR	10
3	1006750-56	RESISTOR	9
1	1006750-80	RESISTOR	8
3	1006750-75	RESISTOR	7
2	1006750-73	RESISTOR	6
2	1006750-128	RESISTOR	5
3	1006750-32	RESISTOR	4
1	2008274	WIRING BOARD BOTTOM	3
1	2008272	WIRING BOARD TOP	2
1	2008194	FRAME	1
