-11	DRAWING	TITLE	FIND	STRIKE
X	2010076	SCHEMATIC	REF	
				
				
				
4	1010264-122	CAPACITOR	16	
1	1010264-35	CAPACITOR	15	
1	1010264-34	CAPACITOR	14	
1	2008093-000	TERMINAL, THREADED	13	
1	1008540-10	GASKET, CONNECTOR, MINIATURE	12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
AR	1006757-1	WIRE, ELECTRICAL	9	
4	1008161-1	SCREW – CAP SLOTTED HEAD	8	
4	1010485-42	SCREW – NYLON FILLISTER HEAD	7	
4	1015135-24	SPACER, NYLON	6	
10	1006782-5	CONTACT, WRAPOST – MALE, MIN	5	
10	1006775	INSULATOR, WRAPOST – MALE, MIN	4	
1	2008294	WIRING BOARD BOTTOM	3	
1	2008296	WIRING BOARD TOP	2	
1	2008205	FRAME	1	
				
X	X	PROOFED	REF	X
