-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
1					2007079-041	QUADRANT 4 ASSEMBLY	27
1					2007076-041	QUADRANT 3 ASSEMBLY	26
1					2007073-051	QUADRANT 2 ASSEMBLY	25
1					2007070-051	QUADRANT 1 ASSEMBLY	24
	1				2007073-041	QUADRANT 2 ASSEMBLY	23
	1				2007070-041	QUADRANT 1 ASSEMBLY	22
	1	1			2007079-031	QUADRANT 4 ASSEMBLY	21
	1	1			2007076-031	QUADRANT 3 ASSEMBLY	20
		1			2007073-031	QUADRANT 2 ASSEMBLY	19
		1			2007070-031	QUADRANT 1 ASSEMBLY	18
X	X	X	X		2010093	LOGIC FLOW DIAGRAM	REF
				X	2010048	LOGIC FLOW DIAGRAM	REF
							
							
							
			1		2007079-021	QUADRANT 4 ASSEMBLY	17
			1		2007076-021	QUADRANT 3 ASSEMBLY	16
			1		2007073-021	QUADRANT 2 ASSEMBLY	15
			1		2007070-021	QUADRANT 1 ASSEMBLY	14
AR	AR	AR	AR	AR	1006757-8	WIRE, ELEC	13
2	2	2	2	2	1004546-3	WASHER, FLAT	12
2	2	2	2	2	1004546-1	WASHER, FLAT	11
2	2	2	2	2	1004579-1	SCREW, JACKING	10
2	2	2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL, E	9
2	2	2	2	2	2004034	SEPARATOR, QUADRANT	8
							7
AR	AR	AR	AR	AR	1006757-26	WIRE, ELEC, .003X.020	6
				1	2007079-011	QUADRANT 4 ASSEMBLY	5
				1	2007076-011	QUADRANT 3 ASSEMBLY	4
				1	2007073-011	QUADRANT 2 ASSEMBLY	3
				1	2007070-011	QUADRANT 1 ASSEMBLY	2
1	1	1	1	1	2007067-011	HEADER HOUSING ASSEMBLY	1
