-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1				2007081-041	QUADRANT 4 ASSEMBLY	25	
1				2007078-041	QUADRANT 3 ASSEMBLY	24	
1				2007075-041	QUADRANT 2 ASSEMBLY	23	
1				2007072-041	QUADRANT 1 ASSEMBLY	22	
	1			2007081-031	QUADRANT 4 ASSEMBLY	21	
	1			2007078-031	QUADRANT 3 ASSEMBLY	20	
	1			2007075-031	QUADRANT 2 ASSEMBLY	19	
	1			2007072-031	QUADRANT 1 ASSEMBLY	18	
X	X	X		2010094	LOGIC FLOW DIAGRAM	REF	
			X	2010049	LOGIC FLOW DIAGRAM	REF	
							
							
		1		2007081-021	QUADRANT 4 ASSEMBLY	17	
		1		2007078-021	QUADRANT 3 ASSEMBLY	16	
		1		2007075-021	QUADRANT 2 ASSEMBLY	15	
		1		2007072-021	QUADRANT 1 ASSEMBLY	14	
AR	AR	AR	AR	1006757-8	WIRE, ELECTRICAL	13	
2	2	2	2	1004546-3	WASHER, FLAT	12	
2	2	2	2	1004546-1	WASHER, FLAT	11	
2	2	2	2	1004579-1	SCREW, JACKING	10	
2	2	2	2	MS16633-4015	RING, RETAINING, EXTERNAL, E	9	
2	2	2	2	2004034	SEPARATOR, QUADRANT	8	
						7	
AR	AR	AR	AR	1006757-26	WIRE, ELEC, .003X.020	6	
			1	2007081-011	QUADRANT 4 ASSEMBLY	5	
			1	2007078-011	QUADRANT 3 ASSEMBLY	4	
			1	2007075-011	QUADRANT 2 ASSEMBLY	3	
			1	2007072-011	QUADRANT 1 ASSEMBLY	2	
1	1	1	1	2007069-011	HEADER HOUSING ASSEMBLY	1	
							
X	X	X	X	X	PROOFED	REF	X
