-41	-31	-21	-11	DRAWING	TITLE	FIND
1				2007080-041	QUADRANT 4 ASSEMBLY	25
1				2007077-041	QUADRANT 3 ASSEMBLY	24
1				2007074-041	QUADRANT 2 ASSEMBLY	23
1				2007071-041	QUADRANT 1 ASSEMBLY	22
	1			2007080-031	QUADRANT 4 ASSEMBLY	21
	1			2007077-031	QUADRANT 3 ASSEMBLY	20
	1			2007074-031	QUADRANT 2 ASSEMBLY	19
	1			2007071-031	QUADRANT 1 ASSEMBLY	18
X	X	X		2010095	LOGIC FLOW DIAGRAM	REF
			X	2010053	LOGIC FLOW DIAGRAM	REF
						
		1		2007080-021	QUADRANT 4 ASSEMBLY	17
		1		2007077-021	QUADRANT 3 ASSEMBLY	16
		1		2007074-021	QUADRANT 2 ASSEMBLY	15
		1		2007071-021	QUADRANT 1 ASSEMBLY	14
2	2	2	2	MS16633-4015	RING, RETAINING	13
2	2	2	2	1004546-3	WASHER, FLAT	12
2	2	2	2	1004546-1	WASHER, FLAT	11
2	2	2	2	1004579-1	SCREW, JACKING	10
AR	AR	AR	AR	1006757-8	WIRE, ELEC	9
2	2	2	2	2004034	SEPARATOR, QUADRANT	8
						7
AR	AR	AR	AR	1006757-26	WIRE, ELEC, .003X.020	6
			1	2007080-011	QUADRANT 4 ASSEMBLY	5
			1	2007077-011	QUADRANT 3 ASSEMBLY	4
			1	2007074-011	QUADRANT 2 ASSEMBLY	3
			1	2007071-011	QUADRANT 1 ASSEMBLY	2
1	1	1	1	2007068-011	HEADER HOUSING ASSEMBLY	1
