-11	DRAWING	TITLE	FIND	STRIKE
AR	1010848-4	WIRE, ELECTRICAL	74	
X	2010062	SCHEMATIC	REF	
AR	1010848-2	WIRE, ELECTRICAL-NICKEL	73	
1	1008815-7	DIODE	72	
1	1010604-22	RESISTOR	71	
2	1010618-17	SCREW BUTTON HD SELF LOCKING	70	
1	1010926	INDUCTOR	69	
1	1006319	TRANSFORMER	68	
1	1010927	TRANSFORMER	67	
1	1010315-2	TRANSFORMER	66	
1	1010966-1	TRANSFORMER	65	
1	1010843-2	TRANSFORMER	64	
2	1010652-4	TRANSFORMER	63	
1	1008813-1	TRANSFORMER	62	
2	1010343-2	TRANSFORMER	61	
1	1010843-4	TRANSFORMER	60	
2	1010777-1	DIODE	59	
4	1010385	DIODE	58	
2	1010777-2	DIODE	57	
1	1010372-22	DIODE	56	
1	1010259-002	DIODE	55	
2	1010410-20	CAPACITOR	54	
2	1010410-10	CAPACITOR	53	
2	1010410-6	CAPACITOR	52	
2	SEE NOTE 14	CAPACITOR	51	
1	1010393-045	CAPACITOR	50	
1	1006789-002	CAPACITOR	49	
2	1006777-30	CAPACITOR	48	
1	1006755-31	CAPACITOR	47	
1	1006755-26	CAPACITOR	46	
3	1006755-21	CAPACITOR	45	
2	1010369-148	RESISTOR	44	
3	1010364-443	RESISTOR	43	
1	1010364-367	RESISTOR	42	
1	SEE NOTE 14	RESISTOR	41	
1	SEE NOTE 14	RESISTOR	40	
2	1010363-613	RESISTOR	39	
1	1006750-28	RESISTOR	38	
2	1006750-70	RESISTOR	37	
4	1006750-56	RESISTOR	36	
1	1006750-49	RESISTOR	35	
1	1006750-43	RESISTOR	34	
1	1006750-39	RESISTOR	33	
1	1006750-37	RESISTOR	32	
1	1006750-36	RESISTOR	31	
1	1006750-32	RESISTOR	30	
2	1006750-19	RESISTOR	29	
1	1006750-15	RESISTOR	28	
1	1006750-1	RESISTOR	27	
1	2008093-002	TERMINAL THREADED	26	
4	2008013-8	TERMINAL LUG	25	
7	MS20341-10B	NUT	24	
7	2008020-1	BUSHING, INSULATOR	23	
14	1008024-1	WASHER, INSULATED	22	
14	1008071-2	WASHER, FLAT	21	
4	1004546-3	WASHER, FLAT	20	
4	1004546-1	WASHER, FLAT	19	
4	MS16633-4015	RING, RETAINING, EXTERNAL, E	18	
4	1004579-1	SCREW, JACKING	17	
AR	1006757-21	WIRE, ELECTRICAL	16	
			15	
AR	1006757-1	WIRE, ELECTRICAL	14	
1	2008284	WIRING BOARD (TOP)	13	
			12	
AR	1006776-21	INSULATION SLEEVING	11	
AR	1006776-20	INSULATION SLEEVING	10	
1	1008025-2	INSULATOR BUSHING	9	
3	1008025-1	INSULATOR BUSHING	8	
AR	MIL-I-15126 MFT 2.5 LG 1/2 IN. WIDE	INS. TAPE TYPE	7	
66	1006782-5	CONTACT, WRAPOST, MALE, MINAT	6	
66	1006775	INSULATOR, WRAPOST, MALE, MINAT	5	
			4	
1	2008278	INSULATOR (TOP)	3	
1	2008279	INSULATOR (BOT)	2	
1	2008297	HEADER, HOUSING	1	
				
X	X	PROOFED	REF	X
