-11	DRAWING	TITLE	FIND	STRIKE
X	2010019	SCHEMATIC	REF	
				
AR	1006776-22	SLEEVING	31	
1	2008276	WIRING BOARD, A	30	
4	1010397-1	TRANSISTOR	29	
1	1008812-1	TRANSISTOR	28	
2	1010385	DIODE	27	
1	1010372-10	DIODE	26	
1	1008815-9	DIODE	25	
1	1006777-31	CAPACITOR	24	
1	1006777-24	CAPACITOR	23	
1	1006777-20	CAPACITOR	22	
1	1006755-30	CAPACITOR	21	
2	1010369-141	RESISTOR	20	
2	'1006750-74	RESISTOR	19	
1	'1006750-65	RESISTOR	18	
1	'1006750-64	RESISTOR	17	
1	'1006750-63	RESISTOR	16	
1	'1006750-60	RESISTOR	15	
1	'1006750-49	RESISTOR	14	
1	'1006750-48	RESISTOR	13	
1	'1006750-40	RESISTOR	12	
1	'1006750-39	RESISTOR	11	
2	'1006750-32	RESISTOR	10	
1	'1006750-20	RESISTOR	9	
1	'1006750-17	RESISTOR	8	
1	'1006750-8	RESISTOR	7	
AR	MIL-I-15126 TYPE MFT 2.5 1/2 IN. WIDE	INSULATION TAPE	6	
AR	1010848-2	INSULATED WIRE	5	
AR	1006757-8	WIRE, ELEC .020 DIA	4	X
AR	1006757-1	WIRE, ELECT. .010 X .020	3	
1	2008011	WIRING BOARD, BOTTOM	2	
1	2008010	WIRING BOARD, TOP	1	
				
		PROOFED		
