-11	DRAWING	TITLE	FIND
X	2010087	SCHEMATIC	REF
1	1006750-26	RESISTOR	89
1	1010604-38	RESISTOR	88
1	1010652-3	TRANSISTOR	87
1	1008902	TRANSFORMER	86
1	1010315-2	TRANSFORMER	85
1	1010342	TRANSISTOR	84
3	1010357-1	TRANSISTOR	83
2	1010747-1	TRANSISTOR	82
1	1010273-6	TRANSISTOR	81
1	1010713-1	TRANSISTOR	80
2	1010499-2	TRANSISTOR	79
2	1010398-3	TRANSISTOR	78
5	1010652-1	TRANSISTOR	77
1	1010372-15	DIODE	76
15	1010497	DIODE	75
1	1010829-26	DIODE	74
3	1008815-50	DIODE	73
1	1008815-12	DIODE	72
1	1008858-2	DIODE	71
1	1008815-9	DIODE	70
1	1008815-50	DIODE	69
12	1010385	DIODE	68
1	1010438-103	CAPACITOR	67
2	1010769-001	CAPACITOR	66
2	1010316-1	CAPACITOR	65
2	1006777-31	CAPACITOR	64
1	1006777-18	CAPACITOR	63
6	1006777-16	CAPACITOR	62
2	1006755-134	CAPACITOR	61
1	1006755-133	CAPACITOR	60
3	1006755-122	CAPACITOR	59
3	1006755-118	CAPACITOR	58
1	1006755-34	CAPACITOR	57
1	1006755-79	CAPACITOR	56
4	1006755-69	CAPACITOR	55
1	1006755-53	CAPACITOR	54
1	1010389-73	RESISTOR	53
1	1010369-99	RESISTOR	52
1	1010369-94	RESISTOR	51
1	1010369-100	RESISTOR	50
1	1010604-37	RESISTOR	49
2	1006802-1	RESISTOR	48
2	1010377-314	RESISTOR	47
2	1010377-110	RESISTOR	46
1	1006750-17	RESISTOR	45
5	1006750-32	RESISTOR	44
3	1006750-50	RESISTOR	43
1	1006750-47	RESISTOR	42
5	1006750-39	RESISTOR	41
1	1006750-45	RESISTOR	40
1	1006750-36	RESISTOR	39
2	1006750-31	RESISTOR	38
4	1006750-56	RESISTOR	37
2	1006750-18	RESISTOR	36
2	1006750-74	RESISTOR	35
1	1006750-12	RESISTOR	34
1	1006750-51	RESISTOR	33
1	1006750-65	RESISTOR	32
1	1006750-58	RESISTOR	31
1	1006750-25	RESISTOR	30
2	1010618-12	SCREW, BUTTON HEAD	29
2	MS20341-10B	NUT	28
2	2008020-1	BUSHING, INSULATOR	27
2	1008071-2	WASHER, FLAT	26
2	1008024-2	WASHER, INSULATOR	25
2	1008024-1	WASHER, INSULATOR	24
1	MS20341-416B	NUT	23
1	2008020-2	BUSHING, INSULATOR	22
1	1008071-5	WASHER, FLAT	21
1	1008024-4	WASHER, INSULATOR	20
1	1008024-3	WASHER, INSULATOR	19
1	2008093-000	TERMINAL, THREADED	18
1	1008025-3	BUSHING, INSULATOR	17
5	1008025-2	BUSHING, INSULATOR	16
4	1008025-1	BUSHING, INSULATOR	15
AR	MIL-I-15126	INSUL TAPE, TYPE MFT 2.5, ½ IN. WIDE	14
AR	1006776-21	INSULATION SLEEVING	13
AR	1006776-20	INSULATION SLEEVING	12
AR	1006757-21	WIRE, ELECTRICAL	11
AR	1006757-1	WIRE, ELECTRICAL	10
AR	1010848-2	WIRE, ELECTRICAL – NICKEL (INSULATED)	9
1	1008540-15	GASKET	8
1	1008540-14	GASKET	7
1	1008540-6	GASKET	6
35	1006775	INSULATOR, WRAPOST – MALE, MINAT	5
35	1006782-5	CONTACT, WRAPOST – MALE, MINAT	4
1	2008413	WIRING BOARD “B”	3
1	2008411	WIRING BOARD “A”	2
1	2008406	HEATSINK	1
