-301	-291	-281	-271	-261	-251	-241	-231	-221	-211	-201	-191	-181	-171	-161	-151	-141	-131	-121	-111	-101	-91	-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
12	12			12	12																									56	2004147-014	BOLT, CAP, SOCKET HD-HEX	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	55	1008985	GREASE, FLUORINATED	
5	5	5	5																											54B	2007238-081 or 2007238-061	MSA & QUADRATURE REJECTION	
				5	5	5	5	5	5	5	5	5																		54A	2007238-081 or 2007238-051 or 2007238-061 or 2007238-071	MSA & QUADRATURE REJECTION	
													5																	53	2007238-041 or 2007238-031	MSA & QUADRATURE REJECTION	
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	52	1008930	GREASE, MOLYBDENUM SISULFIDE	
5	5	3	3																											51B	2007236-021	COARSE SYSTEM	
				5	5	5	3	5	5	3	3	3	5	3	3	5	5			3										51A	2007236-021 or 2007236-031	COARSE SYSTEM	
1	1	1	1	1	1	1	1	1			1	1	1	1			1	1	1	1										50	2008541	PLATE, DAMPER	
1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1							49	2010784-004	GASKET, RETAINER	
1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1	1							48	2010784-013	GASKET, RETAINER	
		1	1				1			1	1	1		1	1				1	1	1		1							47	2010786	COVER	
1	1			1	1	1		1					1				1	1				1								46	2007090-111	TRAY X ASSEMBLY	
		1	1				1					1		1					1		1									45	2007090-101	TRAY X ASSEMBLY	
										1	1				1					1			1							44	2007090-091	TRAY X ASSEMBLY	
																														43			
																														42			
1	1			1	1	1		1					1				1	1				1		1						41	2007091-061	TRAY S ASSEMBLY	
		1	1				1					1		1					1		1				1					40	2007091-051	TRAY S ASSEMBLY	
																								1						39	2007090-061	TRAY X ASSEMBLY	
																									1					38	2007090-051	TRAY X ASSEMBLY	
		X	X				X			X	X	X		X	X				X	X	X		X		X		X			REF	2010151	WIRE LIST	
X	X			X	X	X		X	X				X			X	X	X				X		X		X				REF	6010151	WIRE LIST	
1		1		1		1	1																							37B	2007141-041	DIGITAL MODE	
	1		1		1			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			37A	2007141-041 or 2007141-031	DIGITAL MODE	
5		5		5		5	5																							36B	2007140-041	READ COUNTER	
	5		5		5			5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			36A	2007140-041 or 2007140-031	READ COUNTER	
5		5		5		5	5																							35B	2007139-051	ERROR ANGLE COUNTER AND LOGIC	
	5		5		5			5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			35A	2007139-051 or 2007139-041	ERROR ANGLE COUNTER AND LOGIC	
																													X	REF	2010103	WIRE LIST	
																												X		REF	6010103	WIRE LIST	
		4	4				4			4	4	4		4	4				4	4	4		4		4		4		4	34	1006783-103	SCREW	
4	4	8	8	4	4	4	8	4	4	8	8	8	4	8	8	4	4	4	8	8	8	4	8	4	8	4	8	4	8	33	NAS620A-6L	WASHER, FLAT	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	32	1001489-18	SCREW	
1	1			1	1	1		1	1				1			1	1	1				1		1		1		1		31	1004260-157	NAMEPLATE	
		1	1				1			1	1	1		1	1				1	1	1		1		1		1		1	30	1004260-158	NAMEPLATE	
		20	20				20			20	20	20		20	20				20	20	20		20		20		20		20	29	1001489-2	SCREW	
																									1		1		1	28	2008381	COVER	
		10	10				10			10	10	10		10	10				10	10	10		10		10		10		10	27	2008386-001	BRACKET, SCREW RETAINER	
																														26			
																														25			
									24							24								24	20	24	20	24	20	24	2004148-001	WASHER, FLAT	
																														23			
						6		6	6				6			6	6	6				6		6		6		6		22	2004147-002	BOLT, CAP, SOCKET HEAD-HEX	
		10	10			6	10	6	6	10	10	10	6	10	10	6	6	6	10	10	10	6	10	6	10	6	10	6	10	21	2004147-001	BOLT, CAP, SOCKET HEAD-HEX	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	NAS1291C06	NUT	
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	19	2004148-003	WASHER	
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	18	1001489-26	SCREW	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17	2007254-011	MODE	
																												1	1	16	2007141-021	DIGITAL MODE	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	2007263-011	INTERROGATE	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	2007142-011	POWER SUPPLY	
5	5	5	5																											13B	2007237-021	D/A CONVERTER	
