-21	-11	DRAWING	TITLE	FIND
X		2010794	SCHEMATIC	REF
	X	2010028	SCHEMATIC	REF
1		2010798	WIRING BOARD F	83
1		2021264	WIRING BOARD D	82
1		1010324	TRANSFORMER	81
AR	AR	1006776-021	INSULATION SLEEVING	80
1	1	1006777-24	CAPACITOR	79
		2010717	WIRING BOARD F	78
AR	AR	1010848-2	WIRE, ELECTRICAL NICKEL	77
1	1	1008815-7	DIODE	76
1	1	1008811	INDUCTOR	75
1	1	1008815-5	DIODE	74
1	1	1010372-6	DIODE	73
8	8	1010385	DIODE	72
1	1	1010726	TRANSFORMER	71
1	1	1010723	TRANSFORMER	70
1	1	1010365	TRANSFORMER	69
	1	1010274	TRANSFORMER	68
4	4	1006762-2	TRANSFORMER	67
1	1	1010279-117	CAPACITOR	66
2	2	1006755-79	CAPACITOR	65
1	1	1006755-69	CAPACITOR	64
2	2	1006755-36	CAPACITOR	63
1	1	1006755-33	CAPACITOR	62
2	2	1006755-181	CAPACITOR	61
1	1	1010279-119	CAPACITOR	60
2	2	1006777-31	CAPACITOR	59
1	1	1006755-130	CAPACITOR	58
3	3	1006755-85	CAPACITOR	57
23	23	1010343-3	TRANSISTOR	56
2	2	1010342	TRANSISTOR	55
1	1	1008812-1	TRANSISTOR	54
9	9	1008814-1	TRANSISTOR	53
1	1	1010397-1	TRANSISTOR	52
2	2	1010966-1	TRANSISTOR	51
2	2	101062-1	TRANSISTOR	50
1	1	1010357-1	TRANSISTOR	49
8	8	1010733-12	RESISTOR	48
2	2	1010369-139	RESISTOR	47
1	1	1010369-92	RESISTOR	46
1	1	1006750-35	RESISTOR	45
1	1	1010604-38	RESISTOR	44
1	1	1006750-84	RESISTOR	43
5	5	1006750-80	RESISTOR	42
10	10	1010733-13	RESISTOR	41
1	1	1006750-77	RESISTOR	40
1	1	1006750-73	RESISTOR	39
1	1	SEE NOTE 16	RESISTOR	38
2	2	1006750-16	RESISTOR	37
9	9	1006750-67	RESISTOR	36
10	10	1006750-63	RESISTOR	35
1	1	1006750-62	RESISTOR	34
3	3	1006750-60	RESISTOR	33
2	2	1006750-56	RESISTOR	32
1	1	1006750-20	RESISTOR	31
1	1	1006750-72	RESISTOR	30
10	10	1006750-49	RESISTOR	29
1	1	1006750-48	RESISTOR	28
1	1	1006750-39	RESISTOR	27
1	1	1006750-47	RESISTOR	26
12	12	1006750-36	RESISTOR	25
1	1	1006750-34	RESISTOR	24
4	4	1006750-32	RESISTOR	23
1	1	1010604-45	RESISTOR	22
4	4	1006750-56	RESISTOR	21
2	2	1006750-25	RESISTOR	20
8	8	1008161-4	SCREW, CAP SLOTTED HEAD	19
23	23	2008319	INSULATOR WASHER	18
1	1	2008093-003	TERMINAL, THREADED	17
2	2	MS16633-4015	RING, RETAINING, EXTERNAL, E	16
2	2	1004546-3	WASHER, FLAT	15
2	2	1004546-1	WASHER, FLAT	14
2	2	1004579-1	SCREW, JACKING	13
				12
AR	AR	1006757-1	WIRE, ELECTRICAL, .010X.020	11
				10
AR	AR	1006776-21	INSULATION SLEEVING	9
26	26	1008025-1	INSULATOR BUSHING	8
3	3	1008025-5	INSULATOR BUSHING	7
1	1	2008355	WIRING BOARD E	6
	1	2008353	WIRING BOARD D	5
1	1	2008351	WIRING BOARD C	4
1	1	2008349	WIRING BOARD B	3
1	1	2010715	WIRING BOARD A	2
1	1	2007212-011	HEADER HOUSING ASSEMBLY	1
