-11	DRAWING	TITLE	FIND
X	2010128	SCHEMATIC	REF
			
			
			
1	1010324	TRANSFORMER	56
1	1010357-1	TRANSISTOR	55
1	1008540-1	GASKET, CONNECTOR, MINIATURE	54
1	1008540-4	GASKET, CONNECTOR, MINIATURE	53
1	1008540-9	GASKET, CONNECTOR, MINIATURE	52
1	1010274	TRANSFORMER	51
2	1010365	TRANSFORMER	50
2	1010710	TRANSFORMER	49
1	1010397-1	TRANSISTOR	48
1	1010342	TRANSISTOR	47
4	1010367	CHOPPER	46
3	1010385	DIODE	45
2	1010259-003	DIODE	44
2	1010372-12	DIODE	43
1	1010837-001	DIODE	42
1	1006777-31	CAPACITOR	41
2	1010279-16	CAPACITOR	40
1	1010279-104	CAPACITOR	39
1	1006755-33	CAPACITOR	38
2	1006755-132	CAPACITOR	37
1	1006755-79	CAPACITOR	36
3	1006755-69	CAPACITOR	35
1	1006755-31	CAPACITOR	34
1	1006755-130	CAPACITOR	33
1	1010368-128	RESISTOR	32
1	1010368-121	RESISTOR	31
1	1010368-105	RESISTOR	30
1	1010364-443	RESISTOR	29
1	1010364-501	RESISTOR	28
2	1010364-411	RESISTOR	27
1	1010364-471	RESISTOR	26
1	1010377-103	RESISTOR	25
1	1010377-20	RESISTOR	24
2	1006750-36	RESISTOR	23
1	1006750-8	RESISTOR	22
2	1006750-56	RESISTOR	21
1	1006750-65	RESISTOR	20
2	1006750-36	RESISTOR	19
2	1006750-32	RESISTOR	18
4	1006750-1	RESISTOR	17
1	1006750-38	RESISTOR	16
1	1006750-47	RESISTOR	15
1	2008093-000	TERMINAL, THREADED	14
AR	1006776-19	INSULATION, SLEEVING	13
AR	1006776-21	INSULATION, SLEEVING	12
AR	1006776-20	INSULATION, SLEEVING	11
AR	1010807-17	WIRE, ELECTRICAL	10
AR	1006757-1	WIRE, ELECTRICAL	9
AR	1010848-2	WIRE, ELECTRICAL	8
3	1015135-015	SPACER, NYLON	7
6	1008161-1	SCREW, CAP SLOTTED HEAD, SPECIAL	6
1	2008497	WIRING BOARD B	5
1	2008527	WIRING BOARD A	4
15	1006782-17	CONTACT, WRAPOST MALE, MINIATURE	3
15	1006775	INSULATOR, WRAPOST MALE, MINIATURE	2
1	2008528	FRAME	1
