-51	-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
1					21	2007200-131	POWER&SERVO ASSY C/M PSA	
	AR				20	1006338-000	SEALING COMPOUND, SILICONE RUBBER	X
	1				19	2007200-101	POWER&SERVO ASSY C/M PSA	
		1			18	2007200-091	POWER&SERVO ASSY C/M PSA	
			1		17	2007200-041	POWER&SERVO ASSY C/M	
AR	AR	AR	AR	AR	16	2021593	ADHESIVE	
AR	AR	AR	AR	AR	15	MIL-I-15126	INSULATING TAPE TYPE MFT 2.5	
2	2	2	2	2	14	MS352-08-12	SCREW, PAN HEAD, SLOTTED	
2	2	2	2	2	13	NAS1352-08-12	SCREW, CAP, SOC HD	
3	3	3	3	3	12	1008883-003	CONTACT, ELEC, CRIMP, SOCKET	
3	3	3	3	3	11	1008883-002	CONTACT, ELEC, CRIMP, PIN	
6	6	6	6	6	10	1008885-001	INSULATOR ASSEMBLY	
3	3	3	3	3	9	1010490-142	INSULATION, SLEEVING	
2	2	2	2	2	8	2010737	SPACER, SLEEVE	
1	1	1	1	1	7	2010738	CLAMP, RETAINING (INSEP ASSY)	
1	1	1	1	1	6	2010741	BRACKET, THERMOCOUPLE (INSEP ASSY)	
1	1	1	1	1	5	1004260-524	NAMPLATE, APOLLO G&N, GSE	
1	1	1	1	1	4	2010746-008	THERMOCOUPLE, CONTACT	
1	1	1	1	1	3	2010746-006	THERMOCOUPLE, CONTCT	
1	1	1	1	1	2	1020746-005	THERMOCOUPLE, CONTACT	
				1	1	2007200-021	POWER&SERVO ASSY C/M PSA	
