-11	FIND	DRAWING	TITLE
AR	15	2021593	ADHESIVE
AR	14	MIL-I-15126	INSULATING TAPE TYPE MFT 2.5
3	13	1008883-003	CONTACT ELEC C2 VD SOCKET
3	12	1008883-002	CONTACT ELEC C2 VD PIN
6	11	1008885-001	INSULATOR ASSEMBLY
1	10	1004260-520	NAMEPLATE
3	9	1010490-142	INSULATION, SLEEVING
1	8	2010746-002	THERMOCOUPLE CONTACT
1	7	2010746-003	THERMOCOUPLE CONTACT
1	6	2010746-004	THERMOCOUPLE CONTACT
2	5	NAS1352-04-16	SCREW, CAP, SOC HD
2	4	MS35233-15	SCREW
1	3	2010738	CLAMP, RETAINING (INSEP ASSY)
1	2	2010742	BRACKET, THERMOCOUPLE
1	1	2007201-011	PIPA ELECTRONICS ASSEMBLY
			
		PROOFED	
