-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
	1					9	2010745-031	PEA & THERMOCOUPLE ASSY	
1						8	2018699-041	IMU & THERMOCOUPLE ASSY	
	1					7	2018699-031	IMU & THERMOCOUPLE ASSY	
		1				6	2010745-021	PEA & THERMOCOUPLE ASSY	
1			1			5	6010656-021	PTA & THERMOCOUPLE ASSY	
				1		4	6010656-011	PTA & THERMOCOUPLE ASSY	
					1	3	2010745-011	PEA & THERMOCOUPLE ASSY	
			1	1		2	2018699-021	IMU & THERMOCOUPLE ASSY	
		1			1	1	2018699-011	IMU & THERMOCOUPLE ASSY	
									
X	X	X	X	X	X	REF	X	PROOFED	X
