FIND	-11	DRAWING	TITLE
1	'100 FEET	2010748-001	1008887-001 CABLE, THERMOCOUPLE 24AWG TWISTED SHIELDED PAIR 100 FEED TOTAL LENGTH
2	1	1010771-305	CONNECTOR PLUG
3	REF	1010770-4	CONTACT SOCKET, COPPER SUPPLIED WITH 1010771
4	REF	1010770-6	CONTACT COCKET, CONSTANTAN, SUPPLIED WITH 1010771
5	17	1008883-001	CONTACT SOCKET, COPPER
6	17	1008883-004	CONTACT PIN, CONSTANTAN
7	14	1008885-001	INSULATOR ASSEMBLY
8	AR	1012507-4	TAPE, LACING
9	17.0	1010490-232	INSULATION, SLEEVING (HEAT SHRINKABLE)
11	1.0	1010490-217	INSULATION, SLEEVING (HEAT SHRINKABLE)
12	1	1010933-104	CLAMP, CONNECTOR
13	1	1010734-16	GROMMET
14	1.0	1010490-516	INSULATION, SLEEVING (HEAT SHRINKABLE)
15	1.0	1010490-912	INSULATION, SLEEVING (HEAT SHRINKABLE)
16	'5 FEET	2010748-002	WIRE PER 1010789-006, 22 AWG, YEL, 5 FT TOT LG
17	17.0	1010402-2	SLEEVE, SOLDER
			
			PROOFED
