FIND	STRIKE	0	DRAWING	TITLE	NOTE
1		25 FEET	1010789-006	WIRE, 22 AWG, YEL	
2		50 FEET	1010789-016	WIRE, 26 AWG, YEL	
3		15 FEET	1010789-008	WIRE, 22 AWG, YEL, RED	
4		220 FEET	1010789-017	WIRE, 26 AWG, YEL, RED	
5		20 FEET	1010789-009	WIRE, 22 AWG, YEL, RED, GRN	
6		90 FEET	1010789-018	WIRE, 26 AWG, YEL, RED, GRN	
7		25 FEET	1010789-019	WIRE, 26 AWG, YEL, RED, GRN, BRN	
8		10 FEET	1010789-011	WIRE, 24 AWG, YEL, YEL JKT	
9		150 FEET	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
10		10 FEET	1010789-013	WIRE, 24 AWG, YEL, RED, GRN, YEL JKT	
11		80 FEET	1010789-002	WIRE, 24 AWG, BLK	
12		1	2014741-021	CONNECTOR, PLUG, ELECTRICAL (56P9)	
13		1	2014749-021	CONNECTOR, PLUG, ELECTRICAL (56P10)	
14		1	1010929-109	CONNECTOR, PLUG, ELECTRICAL (56P1)	
15		1	1010929-005	CONNECTOR, PLUG, ELECTRICAL (56P2)	
16		1	1010929-102	CONNECTOR, PLUG, ELECTRICAL (56P3)	
17		1	1010929-101	CONNECTOR, PLUG, ELECTRICAL (56P4)	
18		1	1010929-103	CONNECTOR, PLUG, ELECTRICAL (56P5)	
19		1	1010929-104	CONNECTOR, PLUG, ELECTRICAL (56P6)	
20		1	1010929-108	CONNECTOR, PLUG, ELECTRICAL (56P7)	
21		1	1010929-105	CONNECTOR, PLUG, ELECTRICAL (56P8)	
REF		X	1010770-1	CONTACT, PIN,, SUPPLIED WITH CONNECTOR 1010929	
REF		X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010929	
24		113	1010955-1	CONTACT, MALE	
25		332	1010955-2	CONTACT, MALE	
26		1	2014670-4	ADAPTER, CONNECTOR	
28		1	2014670-7	ADAPTER, CONNECTOR	
29		14	1012534-36	SLEEVE, INSULATION (HEAT SHRINKABLE)	
30		2	1012534-38	SLEEVE, INSULATION (HEAT SHRINKABLE)	
31		93	1010402-2	SLEEVE, SOLDER	
32		115	1010958-1	PLUG, PROTECTIVE SEALING	
34		AR	1010989	TAPE, SHIELDING, EMI/RFI	
35	X	0	2010774-012	DELETED	
36		AR	MIL-I-23594	TAPE, TEFLON, TYPE II, 1 INCH WIDE	The drawing calls out MIL-T-23594.
37		AR	MIL-I-23594	TAPE, TEFLON, TYPE II, 1/4 INCH WIDE	The drawing calls out MIL-T-23594.
38		AR	1012507-004	TAPE, LACING AND TYING	
39		AR	1012503	COMPOUND, POTTING, POLYURETHANE	
40		AR	1012504	PRIMER, METAL PARTS	
41		AR	1010661	EPOXY RESIN	
42		AR	1010679	ADHESIVE ACTIVATOR	
45	X	0	1006776-19	DELETED	
47		8	2021203	TERMINAL LUG, SOLDER	
48		8	MS35333-69	WASHER, LOCK	
49		8	1006783-93	SCREW, BUTTON HD	
51		5	1006783-18	SCREW, BUTTON HD	
52		4	MS25036-52	TERMINAL LUG	
53		5 FEET	QQ-B-575	WIRE BRAID, .12 DIA, 36 AWG	
54		2	2014670-11	ADAPTER, CONNECTOR	
55		2	2014670-12	ADAPTER, CONNECTOR	
56		1	2014670-13	ADAPTER, CONNECTOR	
57		1	2014670-15	ADAPTER, CONNECTOR	
58		1	MS25036-48	TERMINAL LUG	
59		445	1010490-114	SLEEVE, INSULATION (HEAT SHRINKABLE)	
60		AR	QQ-S-571 SN60WRAP	SOLDER	
61		AR	QQ-S-571 SN60WS	SOLDER	
62		AR	MIL-F-14256 TYPE A OR W	FLUX	
63		4	1010402-1	SLEEVE, SOLDER	
64		AR	1008822	COLORANT, EPOXY BASE	
65		AR	1006277	SILICA, PULVERIZED PYROGENIC	
66		14	1010811-002	BAND, CABLE	
					
				PROOFED	
