-11	FIND	DRAWING	TITLE
AR	26	MMM-A-181 TYPE I	ADHESIVE
1	25	2021267	SUPPORT, EYEPIECE
1	24	2021258-031	SPRING AND ANCHOR ASSEMBLY
1	23	2021258-021	SPRING AND ANCHOR ASSEMBLY
1	22	2021258-011	SPRING AND ANCHOR ASSEMBLY
1	21	2021257	ANCHOR, SPRING
1	20	2021216-002	BRACKET – RECP LOCK FASTENER, R.H.
2	19	2021236	SPRING, TENSION
2	18	2021233-002	PLATE, INSTRUCTION
2	17	2021233-001	PLATE, INSTRUCTION
4	16	MS21045-CO4	(7875739-026) NUT, SELF LOCK
4	15	MS35200-13	SCREW, FLAT HD
4	14	2021232	SHIM, LAMINATED
1	13	2021216-001	BRACKET – RECP LOCK FASTENER, L.H.
2	12	2021217	RECEPTACLE
2	11	2021222	STUD ASSY, TURNLOCK FASTENER
2	10	2021224	NUT, PLAIN HEX
AR	9	1010679	ACTIVATOR, ADHESIVE
AR	8	1010661	RESIN, ADHESIVE
1	7	2010787	COVER, EYEPIECE STORAGE (INSEP ASSY)
3	6	1008872-001	BUMPER, RUBBER
3	5	2021259	STOP, COVER
9	4	NAS1190CO4-P6L	(7875739-198) SCREW
23	3	MS24622-17	SCREW, TAPPING
3	2	1021265	HINGE, BUTT (INSEP ASSY)
1	1	2010788	CASE, EYEPIECE STORAGE (INSEP ASSY)
			
			PROOFED
