-181	-171	-161	-151	-141	-131	-121	-111	-91	-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE
1																	39	2011000-081	OPTICAL UNIT
	1																38	1008490-011	COVER & BAFFLE, TELESCOPE (INSEP ASSY)
		1															37	2011000-011	OPTICAL UNIT
			1														36	2011000-038	OPTICAL UNIT
1	1	1	1		1	1											35	1004260-570	NAMEPLATE
				1	1												34	2011000-071	OPTICAL UNIT
	1					1											33	2011000-062	OPTICAL UNIT
							1										32	1004260-553	NAMEPLATE
									1								31	1004260-552	NAMEPLATE
										1							30	1004260-551	NAMEPLATE
AR	AR	AR	AR		AR	AR	AR		AR	AR	AR						29	1011541	ADHESIVE, EPOXY
											1						28	1004260-550	NAMEPLATE
												2					27	1021325	NUT, SLOTTED, FLAT CSK HD.
												4					26	1010630-17	SCREW, FLAT HEAD
												2					25	1021323	INSERT
												1					24	1021321	SEAT, SEXTANT COVER
												1					23	1021331-011	COVER & BAFFLE, SEXTANT (INSEP. ASSY)
												1					22	1021332	COVER & BAFFLE, TELESCOPE (INSEP ASSY)
							1	1									21	2011000-061	OPTICAL UNIT
AR	AR	AR	AR		AR	AR	AR		AR	AR	AR	AR					20	1008903	ADHESIVE, EPOXY
4	4	4	4		4	4	4		4	4	4						19	1008494	SCREW, 100° FLAT HEAD, HEX SOC
4	4	4	4		4	4	4		4	4	4						18	1008484-000	SCREW, CAPTIVE
1		1	1		1	1	1		1	1	1						17	1008490-021	COVER & BAFFLE, TELESCOPE (INSEP ASSY)
1	1	1	1		1	1	1		1	1	1						16	1008495	SEAT, TELESCOPE COVER
2	2	2	2		2	2	2		2	2	2						15	1021379	FASTENER, SCREW TUBE – FLAT HD
6	6	6	6		6	6	6		6	6	6						14	1008484-001	SCREW, CAPTIVE
1	1	1	1		1	1	1		1	1	1						13	1008480-011	SEXTANT COVE & BAFFLE (INSEP. ASSY)
1	1	1	1		1	1	1		1	1	1						12	1021383	CLAMP, SEXTANT COVER
1	1	1	1		1	1	1		1	1	1						11	1021382	SEAT, SEXTANT COVER
									1			1					10	2011000-051	OPTICAL UNIT
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	9	AN960C10L	WASHER, FLAT
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	8	AN363C1032	NUT, SELF-LOCKING
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1899996-002	SEAL, PLAIN ENCASED
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1899996-001	SEAL, PLAIN ENCASED
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1898952	BELLOWS, SEXTANT (INSEP ASSY)
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1899951	BELLOWS ASSEMBLY, SCT
										1				1			3	2011000-041	OPTICAL UNIT
											1				1		2	2011000-034	OPTICAL UNIT
												1				1	1	2011000-035	OPTICAL UNIT
