STRIKE	QTY	TITLE	FIND	-11	-21	-31	-41	-51	-61	-71	-81	-91	-111	-121	-131	-141	-151	-161	-171	-181	-191	-211	-221	-231	-241	-251	-261	-271	-281	-291	-311	-321	-331	-341	-351	-361	-371	-381	-391	-411	-421	-431	-441	-451	-461	-471	-481	-491	-511	-521	-531	-541	-551	-561	-571	-581	-591
	AR	ADHESIVE SEALANT, SILICONE RUBBER	40	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341	1006341
	1	COMPONENT BLOCK DIODE ASSY	39	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021	2003986-021
	X	SCHEMATIC	REF	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980	2005980
																																																									
	1	FLAT CABLE	38	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684	2004684
	4	SCREW, SHOULDERED	37	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003	2004150-003
	AR	INSULATION TAPE, ELECTRICAL	36	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26	1006806-26
	1	SCREW, SHOULDERED	35	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001	2004150-001
	1	SCREW, SHOULDERED	34	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002	2004150-002
	1	FLAT CABLE INTERCONNECTION	33	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129	2004129
	AR	SLEEVING	32	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25	1006776-25
