-11	0	FIND	DRAWING	TITLE
1	0	18	2011197-011	DOVE PRISM & MOUNT, ASSY OF
1	0	17	2011185-011	SUPPORT DOVE PRISM MOUNT, ASSY OF (MACH)
AR	AR	16	1012050	LUBRICATING OIL, SILICONE
AR	AR	15	1012051	CREASE, SILICONE
1	1	14	2011255	SPACER, BEARING
1	1	13	2011250	CAP, RETAINING, TRUNNION (L.H.)
2	2	12	NAS1352C02LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
10	10	11	NAS1352C02LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
1	1	10	MS51045-29	SET SCREW, HEX SOC HALF DOG POINT
2	2	9	1011610	BEARING, BALL
1	1	8	2011198	SHAFT, WORM
1	1	7	2011186	CAP, RETAINING, WORM SHAFT BRG
1	1	6	2011181	CAP, RETAINING, TRUNNION BRG (RH)
1	1	5	2011190	BLOCK, SPRING MOUNTING
1	1	4	2011189	SPACER, SPRING
1	1	3	2011193	CAM FOLLOWER AND SPRING, ASSY OF
0	1	2	2011197-000	DOVE PRISM & MOUNT, ASSY OF
0	1	1	2011185-011	SUPPORT DOVE PRISM MOUNT, ASSY OF (MACH)
				
				PROOFED
