-11	0	FIND	DRAWING	TITLE
1	0	16	2011892-011	SERVO MOTOR AND CONNECTOR, ASSY OF
AR	AR	15	2012351	WASHER, FLAT
AR	AR	14	2011804	WASHER, FLAT
2	2	13	NAS1352C02LL4	SCREW, CAP, HEX SOC HD SELF-LOCKING
3	3	12	2011868-6	CLAMP, RIM CLENCHING
3	3	11	1011625-18	SCREW, CAP, HEX SOC HD
0	1	10	2011892-000	SERVO MOTOR AND CONNECTOR, ASSY OF
1	1	9	2011349	GEARSHAFT (108T-120P) (19T-120P) S5
4	4	8	1011608-2	BEARING, BALL, ANNULAR
1	1	7	2011348	GEARSHAFT (18T-96P) (153T-120P) S4
2	2	6	1011608-4	BEARING, BALL, ANNULAR
1	1	5	2011347	GEARSHAFT (21T-96P) (130T-96P) S3
1	1	4	2011346	GEARSHAFT (33T-96P) (132T-96P) S2
2	2	3	1011608-1	BEARING, BALL, ANNULAR
1	1	2	2011795	PLATE AND PIN, ASSY OF
1	1	1	2011596	HOUSING, GEAR (SEXTANT TRUNNION DRIVE)
				
				PROOFED
