-41	-31	-21	-11	0	FIND	DRAWING	TITLE
1					13	2012768	PANEL, TELESCOPE
	1				12	2012765	PANEL, TELESCOPE
	AR	AR			11	1012543-003	COATING KIT, LIGHT DIFFUSING
		1			10	2012728	PANEL, TELESCOPE
			1		9	2012671	PANEL, TELESCOPE
1	1	1	1	1	8	1011541	ADHESIVE, PREFORMED
1	1	1	1	1	7	1011768-4	PACKING, PREFORMED
1	1	1	1	1	6	2012034	HOUSING, GAS INJECTION
1	1	1	1	1	5	2012033	VALVE, THREADED, GAS INJECTION
1	1	1	1	1	4	2012032	ADAPTER, THREADED, GAS INJECTION
8	8	8	8	8	3	1000115-2	INSERT, THREADED, SELF LOCKING
2	2	2	2	2	2	NAS1394C-3	INSERT, THREADED, NON SELF LOCKING
				1	1	2011696	PANEL, TELESCOPE
							
							PROOFED
