FIND	-11	DRAWING	TITLE
20	1	1011768-32	PACKING, PREFORMED
19	1	2011947	WASHER, SPRING
18	1	1000159-12	PACKING, PREFORMED “O” RING
17	2	NAS135C03LL4	SCREW, CAP, SOC. HD., SELF-LOCKING
16	1	2011682	PLATE, BEARING RETAINER
15	1	1011609	BEARING, BALL, ANNULAR (DUPLEX DF)
14	3	NAS1352C04LL4	SCREW, CAP, SOC. HD., SELF-LOCKING
13	3	2011688	SCREW, CAP, SOC. HD, CAPTIVE
12	3	2011691	RETAINER, RETICLE
11	1	2011760	RETICLE, ASSY (SCT)
10	1	2011692	MOUNT RETICLE
9	3	AN565BC4H2	SETSCREW-HEXAGON, SOCKET, HEADLESS
8	3	2011693	ROD, LIGHT TRANSMITTING
7	1	2011659	RING, LOCKING, LENS
6	1	2011709	LENS, ASSY OF (TELESCOPE OBJECTIVE)
5	1	2011661	SPACER, LENS
4	1	2011708	LENS, ASSY OF (TELESCOPE OBJECTIVE)
3	1	2011660	SPACER, LENS
2	1	2011707	LENS, ASSY OF (TELESCOPE OBJECTIVE)
1	1	2011729	OUTER TELESCOPE TUBE, PIN & INSERT, ASSY OF
			
			PROOFED
