-31	-21	-11	0	FIND	DRAWING	TITLE	STRIKE
1				34	2011717-031	PANEL TELESCOPE & INSERT, ASSY OF	
2				33	2012759	SPRING, HELICAL, COMPRESSION	
2				32	2012752	SPACER	
	1			31	2011717-021	PANEL TELESCOPE & INSERT, ASSY OF	
		1		30	2011717-011	PANEL TELESCOPE & INSERT, ASSY OF	
AR	AR	AR	AR	29	1012051	GREASE SILICONE	
1	1	1	1	28	NAS1352C02LL4	SCREW, CAP, SOCKET HEAD, SELF-LOCKING	
1	1	1	1	27	MS15795-302	WASHER, FLAT	
8	8	8	8	26	NAS1352C02LL3	SCREW, CAP, SOCKET HEAD, SELF-LOCKING	
4	4	4	4	25	NAS1352C01LL3	SCREW, CAP, SOCKET HEAD, SELF-LOCKING	
4	4	4	4	24	NAS1352C01LL2	SCREW, CAP, SOCKET HEAD, SELF-LOCKING	
2	2	2	2	23	NAS1352C06LL8	SCREW, CAP, SOCKET HEAD, SELF-LOCKING	
				22			
AR	AR	AR	AR	21	2011885	SHIM	
2	2	2	2	20	2011886	SPACER, CONNECTOR MTG. PLATE	
1	1	1	1	19	2011913	LAMP AND HARNESS, ASSY OF	
2	2	2	2	18	2011826	PLATE, MASK	
2	2	2	2	17	2011828	WEDGE, ILLUMINATING	
2	2	2	2	16	2011830	GASKET, WEDGE, BOTTOM	
2	2	2	2	15	2011699	BEZEL	
2	2	2	2	14	1011768-28	PACKING, PREFORMED	
2	2	2	2	13	2011829	WINDOW, GLASS	
2	2	2	2	12	2011831	GASKET, WINDOW	
2	2	2	2	11	1011770-3	RING, RETAINING	
2	2	2	2	10	1011768-8	PACKING, PREFORMED	
0	2	2	2	9	2011821	SPRING, HELICAL, COMPRESSION	
2	2	2	2	8	1011768-14	PACKING, PREFORMED	
2	2	2	2	7	2011820	SHAFT, MANUAL ADJUSTMENT	
1	1	1	1	6	2011808	RING, RETAINING	
1	1	1	1	5	1011768-32	PACKING, PREFORMED	
1	1	1	1	4	2011816	WINDOW, GLASS	
1	1	1	1	3	2011809	GASKET, WINDOW	
1	1	1	1	2	1000220-3	CLAMP, CABLE	
		1	1	1	2011717-000	TELESCOPE PANEL & INSERT, ASSY OF	
							
X	X	X	X	X	X	PROOFED	X
