-31	-21	-11	0	FIND	DRAWING	TITLE
1				12	2012663-011	OPTICAL BASE, ASSY OF
	1			11	2012663-000	OPTICAL BASE, ASSY OF
8	8	8		10	1011625-28	SCREW CAP SOC HD SELF LOCKING
		1		9	2011631-011	OPTICAL BASE, ASSY OF
6	6	6	14	8	NAS1352C04LL8	SCREW CAP SOC HD SELF LOCKING
2	2	2	2	7	1012506-2	BEARING BALL, ANNULAR
1	1	1	1	6	2011316	RETAINER SHAFT
1	1	1	1	5	2011739	INSERT, BALL MOUNT, LINE, ASSY OF
1	1	1	1	4	2011738	INSERT, BALL, MOUNT, PLANE, ASSY OF
1	1	1	1	3	2011704	SHAFT AXIS ASSY, SEXTANT
1	1	1	1	2	2011566	INSERT, BALL MOUNT, STATIONARY
			1	1	2011631-000	OPTICAL BASE, ASSY OF
						
						PROOFED
