-11	0	FIND	DRAWING	TITLE
1		14	1012156-4	SERVO MOTOR-TACHOMETER GENERATOR (MG-1)
1	1	13	1010490-290	INSULATION, SLEEVING, ELECT, HEAT SHRINKABLE
1	1	12	MS25036-43	TERMINAL, LUG, CRIMP STYLE, COPPER
2.5	2.5	11	1010789-006	WIRE, ELECT, EXTRUDED TFE INSUL, POLYIMIDE COATED
1	1	10	1010402-1	SLEEVE SOLDER ELECT CONT INSULATION HEAT SHRINKABLE
17	17	9	1010490-060	INSULATION, SLEEVING, ELECT, HEAT SHRINKABLE
2.0	2.0	8	1010416-15	WIRE, ELECTRICAL, STRANDED, INSULATED
2.0	2.0	7	1010416-17	WIRE, ELECTRICAL, STRANDED, INSULATED
2.0	2.0	6	1010416-11	WIRE, ELECTRICAL, STRANDED, INSULATED
2.0	2.0	5	1010416-13	WIRE, ELECTRICAL, STRANDED, INSULATED
		4		
1	1	3	1011757-000	CONNECTOR, ELECTRICAL (P3)
1	1	2	10000123	CONNECTOR, ELECTRICAL (P9)
	1	1	1012156-1	SERVO MOTOR-TACHOMETER GENERATOR (MG-1)
				
				PROOFED
