0	FIND	DRAWING	TITLE	STRIKE
1	16	2012689	SPACER, AIR FOCUSING (SXT)	
AR	15	1010838	ADHESIVE PRESSURE SENSITIVE SILICONE	
1	14	2012687	INSULATION, THERMAL SXT MIRROR HSG	
1	13	2012688	INSULATION, THERMAL SXT MIRROR HSG	
2	12	2012162	MIRROR	
1	11	2012124	PLUG	
3	10	NAS1352C02LL4	SCREW, CAP, HEX SOC HD, SELF-LOCKING	
1	9	2012195	PLATE, COVER, MIRROR	
3	8	NAS1352C02LL3	SCREW, CAP, HEX SOC HD, SELF-LOCKING	
1	7	2011680	PLATE, COVER, MIRROR	
2	6	2011685	WASHER, WAVE	
1	5	2011795	HOLDER AND LENS, ASSY OF	
1	4	2011665	RING, SPACER	
1	3	2011667	RING, LOCKING	
1	2	2011781	LENS, ASSY OF	
1	1	2012695	MIRROR HOUSING AND HEATER, ASSY OF	
				
X	REF	X	PROOFED	X
