0	FIND	DRAWING	TITLE	STRIKE
4	105	1012540-029	SCREW, HEX HD, SELF LOCKING	
1	104	2012725	COUNTERWEIGHT	
1	103	2012726	COUNTERWEIGHT	
1	102	2011215-011	TELESCOPE TRUNNION AXIS ASSY	
	101			
0	100	2011889-021	OPTICAL UNIT SUB-ASSY STAGE I	
	99			
1	98	1000220-5	CLAMP, CABLE	
1	97	1011918-1	WASHER, CLAMP, CABLE	
1	96	NAS1392C08LL8	SCREW, CAP, SOC HD, SELF LOCKING	
	95			
	94			
1	93	1011625-28	SCREW, CAP HEX, SOC HD, SELF LOCKING	
1	92	2012431	PLATE, MOUNTING, CONNECTOR	
2	91	1011625-11	SCREW, CAP, SOC HD, SELF LOCKING	
2	90	NAS1081C02A4L	SET SCREW, SELF LOCKING	
2	89	2012432	POST, CONNECTOR PLATE	
1	88	1012522	CABLE (FLAT) AND CONNECTOR ASSY	
2	87	NAS1351C3LL20	SCREW, CAP, SOC HD, SELF LOCKING	
8	86	1011625-20	SCREW, CAP, SOC HD, SELF LOCKING	
1	85	2011595	COVER, GEARBOX	
1	84	MS16624-1018	RING, RETAINING	
AR	83	2012351	WASHER, FLAT	
1	82	2011578	DOG, LIMIT STOP, OUTER	
3	81	2011579	DOG, LIMIT STOP	
1	80	2011580	DOG, LIMIT STOP, INNER	
1	79	1011608-5	BEARING, BALL, ANNULAR	
1	78	2011581	GUIDE, SPRING, LIMIT STOP	
1	77	2011577	SPRING, TORSION	
1	76	2012350	WASHER	
	75			
1	74	1011399-10	PACKING, PREFORMED, RETAINED	
2	73	MS35249-11	SCREW, SELF LOCKING, 82 DEGREES FLAT HEAD	
8	72	1011625-39	SCREW, CAP, SOC HEAD, SELF LOCKING	
2	71	NAS1352C06LL6	SCREW, CAP, SOC HEAD, SELF LOCKING	
2	70	NAS1351C3LL10	SCREW, CAP, SOC HEAD, SELF LOCKING	
4	69	NAS1189C02T4L	SCREW, FLAT HD, SELF LOCKING	
2	68	MS16624-15	RING, RETAINING, EXTERNAL, BASIC	
1	67	MS15795-305	WASHER, FLAT	
1	66	1011918-2	WASHER, CABLE CLAMP	
1	65	1000220-6 or 1000220-5		
1	64	1000220-8 or 1000220-6		
1	63	2012491		
AR	62	2011885		
1	61	1011599-9		
1	60	1012520-2		
1	59	2011713		
1	58	2011896		
1	57	1012065		
1	56	2012722	SXT INDEX HD ASSY	
1	55	2012164	GROMMET	
1	54	2011889-011	OPTICAL UNIT SUB-ASSY STAGE I	
1	53	2012621	RING, MOUNTING, COVER	
2	52	NAS1352C08LL12	SCREW, CAP, SOC HD, SELF LOCKING	
7	51	NAS1352C08LL8	SCREW, CAP, SOC HD, SELF LOCKING	
	50			
4	49	NAS1352C06LL4	SCREW, CAP, SOC HD, SELF LOCKING	
8	48	NAS1352C04LL8	SCREW, CAP, SOC HD, SELF LOCKING	
14	47	NAS1352C04LL6	SCREW, CAP, SOC HD, SELF LOCKING	
14	46	NAS1352C04LL4	SCREW, CAP, SOC HD, SELF LOCKING	
14	45	NAS1352C02LL4	SCREW, CAP, SOC HD, SELF LOCKING	
	44			
12	43	NAS1189C04P6L	SCREW, CAP, SOC HD, SELF LOCKING	
1	42	1010628-19	SCREW, FLAT HD, SELF LOCKING, SOC HEX	
2	41	AN960-C8	WASHER, FLAT, REGULAR	
1	40	NAS1352C08LL10	SCREW, CAP, HEX SOC HD, SELF LOCKING	
2	39	2011684	PIN, THREADED	
1	38	2011877	SPACER	
1	37	1012525-005	NUT, SELF LOCKING, HEX, THIN	
1	36	MS9021-154	PACKING, PREFORMED	
1	35	1011606-1	BEARING, BALL	
1	34	1011606-2	BEARING, BALL	
1	33	2011825	GEAR, SPUR (42T-96P)	
2	32	2011562	BUSHING, LOCATING	
2	31	2011561	BUSHING, ECCENTRIC	
1	30	2011344	SCREW, SHOULDER	
2	29	2011353	SPACER, SPRING HOLDER	
1	28	2011351	BRACKET, MOUNTING, SPRING HOLDER	
1	27	2012487	PLATE, MOUNTING, CONNECTOR	
1	26	2012486	SPACER, CONNECTOR, MOUNTING PLATE	
1	25	2012374	PLATE, MOUNTING, CONNECTOR	
1	24	2011622	PLATE, MOUNTING, CONNECTOR	
3	23	2011341	PLATE, RETAINING, STOP RING	
1	22	2011342	RING, LIMIT STOP	
1	21	2011320	PLATE, FLEXPRINT GUIDE	
0	20	2011616	RING, MOUNTING, COVER	
1	19	2011321	PLATE, MOUNTING, CONNECTOR	
1	18	2011322	PLATE, MOUNTING, CONNECTOR	
2	17	2011323	POST, SHOULDERED, THREADED	
1	16	2012440	FLEXPRINT RETAINING ASSY	
2	15	2011686	RETAINER, PIN	
1	14	1012520-1	FLEXPRINT & CONNECTOR, ASSY OF (SXT)	
1	13	1012519	FLEXPRINT & CONNECTOR, ASSY OF (SXT)	
1	12	2011705	SHAFT DRIVE GEAR BOX, SXT, ASSY OF	
1	11	2011714	LIMIT STOP ASSY	
1	10	2012387	GEAR & SPRING, ASSY OF	
1	9	2011906	HOUSING, STATOR & LAMP, ASSY OF	
1	8	2011703	SHAFT DRIVE GEAR BOX, SCT, ASSY OF	
1	7	2011702	TRUNNION DRIVE GEAR BOX, SCT, ASSY OF	
	6			
1	5	2011723	DRIVE GEAR, CLUSTER ASSY	
1	4	2011731	HOUSING & LAMP, ASSY OF	
1	3	2011724	INNER TELESCOE TUBE, ASSY OF	
1	2	2011722	OUTER TELESCOPE TUBE ASSY	
	1			
				
X	REF	X	PROOFED	X
