FIND	0	DRAWING	TITLE	STRIKE
16	2	MS16995-1	SCREW, CAP, SOCKET HEAD	
15	2	MS16995-2	SCREW, CAP, SOCKET HEAD	
14	8	MS51957-2	SCREW, MACHINE, PAN HEAD	
13	3	MS51029-1	SETSCREW, FLAT POINT	
12	2	2012786	PIN, DOWEL	
11	1	2012780	CLAMP, HEATER COVER HOLDER (SCT EYEPIECE)	
10	1	2012779	CLAMP, HEATER COVER HOLDER (SCT EYEPIECE)	
9	1	2012784	COVER, SLEEVE, HEATER (SCT EYEPIECE)	
8	1	2012782	COVER, WIRE GUIDE (SCT EYEPIECE)	
7	2	2012659	SCREW, CAPTIVE, KNURLED, HEAD	
6	1	2011974	GUARD, RUBBER	
5	1	2011916	RING, LOCKING	
4	1	2011824	LENS, POSITIVE	
3	1	2011917	SPACER, LENS	
2	1	2011730	LENS, ASSY OF	
1	1	2012690-011	EYEPIECE, HOUSING & HEATER, ASSY OF	
				
REF	X	X	PROOFED	X
