FIND	-11	DRAWING	TITLE
39	AR	1010686	CATAYLST
38	AR	1010657	EPOXY RESIN
37	AR	1008953-003	COMPOUND, SEALING & RETAINING
36	1	2013305	INSULATOR, ELECTRICAL
35	AR	2013301	SPACER
34	1	2013452	MOUNT, DIASTIMETER
33	1	1006738	SWITCH, PUSH
32	4	MS51959-13	SCREW, FL. HD.
31	1	2013313	COVER, REAR (PORRO PRISM)
30	1	2013310	SPRING, TENSION
29	1	2013308	SPACER
28			
27	1	2013307	SCREW, SHOULDER
26	1	2013293	LATCH, ASSY OF
25	8	MS51959-3	SCREW, FL. HD. (#2-56 X 1/4 LG)
24	1	2013306	FLANGE, MOUNTING, EYEPIECE
23	3	MS51959-2	SCREW, FL. HD. (#2-56 X 3/16 LG)
22	1	2013304	RETAINER, RETICLE
21	1	2013303	RETICLE
20	2	2013337-002	SCREW, CAP, HEX SOC. HD (REWORK) (#2-56X.140 LG)
19	2	2013302	BLOCK, ALIGNMENT
18	1	2013299	PRISM
17	6	MS16995-1	SCREW, CAP, HEX SOC. HD. (#2-56 X 3/16 LG)
16	1	2013300	STRAP, PRISM
15	2	2013319-003	PIN, DOWEL
14	2	2013319-002	PIN, DOWEL
13	1	NAS620C4	WASHER, FLAT
12	1	MS16995-9	SCREW, CAP SOC. HD.
11	11	MS16995-10	SCREW, CAP HEX SOC. HD
10	2	2013326	SCREW, PAN HD (REWORKED)
9	1	2013324	SPRING, CONTACT
8	1	2013322	INSULATOR, ELECTRICAL
7	1	2013397	PLATE INSULATOR
6	2	2013321	BUSHING, INSULATOR
5	2	2013323	BUSHING, THREADED
4	1	2013318	RING, LOCKING, OBJECTIVE
3	1	2013283	LENS, OBJECTIVE, ASSY OF
2	1	2013277	SUPPORT, MIRRORS FIXED, ASSY OF
1	1	2013276	HOUSING, TELESCOPE
			
			PROOFED
