-11	FIND	DRAWING	TITLE	STRIKE
AR	53	1010750	CURING AGENT, POLYIMIDE	
AR	52	1010748	EPOXY RESIN	
AR	51	1008936-003	TAPE, LACING	
AR	50	1012555-002	TAPE, LACING	X
4	49	1008836-001	WASHER, SHIM, LAMINATED	
AR	48	MIL-S-22473	SEALING COMP, RETAINING, GRADE AA	
1	47	NAS1352C04-8	SCREW, SOC HD. CAP	
X	REF	2014520	SCHEMATIC DIAGRAM, SEXT HAND CONT	
X	REF	2014506	WIRING DIAGRAM, SEXTANT HAND CONT	
AR	44	1010718	PRIMER, SILICONE ADHESIVE	
AR	43	MIL-A-25457	ADHESIVE, SILICONE RUBBER (ES-2531)	
AR	42	MIL-S-22473	SEALING COMP, RETAINING, GRADE C	
AR	41	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	
AR	40	MIL-F-14256	FLUX (ES-2798)	
AR	39	QQ-S-571 SN10WARP	SOLDER	
AR	38	QQ-S-571 SN10WS	SOLDER	
1	37	1010855	TERMINAL, FEEDTHRU, INSULATED	
AR	36	1012507-004	TAPE, LACING	X
AR	35	1012503	POLYURETHANE POTTING COMPOUND	
1	34	2014538	HOUSING, FEEDTHRU	
1	33	1010858-18	PACKING, PREFORMED “O” RING	
1	32	2014537	GASKET	
1	31	2014549	COVER	
1	30	2014535	SHAFT, PIVOT	
1	29	2014547	DIAPHRAGM	
1	28	1021769	RING RETAINER	
1	27	1010858-22	PACKING, PREFORMED “O” RING	
1	26	2014536	HANDLE	
1	25	2014715-011	DESICCATOR ASSEMBLY	
2	24	MS51029-49	SET SCREW, HEX SOC. HD	
4	23	1010418-001	BUSHING, FLANGED	
2	22	2014546	CAM	
1	21	2014541-011	SHAFT HANDLE (INSEP ASSY)	
1	20	2014558	PIN, PIVOT HEADED	
2	19	1010418-002	BUSHING, FLANGED	
23	18	MS35233-4	SCREW, MACHINE, PAN HD	
1	17	MS16624-12	RING, RETAINING, EXTERNAL	
4	16	NAS1352C02LL3	SCREW, SOCL HD CAP, SELF-LOCKING	
1	15	2014534	SHAFT, YOKE	
2	14	MS51045-3	SETSCREW, HEXAGON SOCKET HD	
1	13	2014544	ARM, CAM FOLLOWER	
2	12	2014555	PIN, PIVOT	
2	11	1010931	SPRING, HELICAL, EXTENSION	
4	10	MS16556-2	PIN, STRAIGHT HEADLESS	
3	9	1010780-1	BEARING, NEEDLE CAM FOLLOWER	
1	8	2014543	ARM, CAM FOLLOWER	
3	7	MS35233-3	SCREW, MACHINE, PAN HD	
2	6	2014539	CAP, BEARING PRELOAD	
1	5	2014551-011	HOUSING ASSY, MATCHED MACH.	
6	4	1015542	CLAMP, SYNCHRO	
8	3	NAS1352C02-4	SCREW, CAP, SOCKET HEAD	
2	2	1010740	LINEAR ROTARY TRANSFORMER	
1	1	2014548	PLATE, BASE	
				
			PROOFED	
