-31	-21	-11	FIND	STRIKE	DRAWING	TITLE	NOTE
1			104		1004260-561	NAMEPLATE	
1			103		2014656-031	RETICLE, BRIGHTNESS CONTROL	
6	6	6	102		1001489-4	SCREW, SOC. HD. CAP	
AR	AR		101		MIL-I-23594 TYPE II	TAPE, TEFLON	The original drawing calls out MIL-T-23594.  I believe this was in error.
7	7		100		1010999-4	LAMP, ELECTROLUMINESCENT	
1	1		99		1010999-8	LAMP, ELECTROLUMINESCENT	
	1		98		1004260-545	NAMEPLATE	
	1		97		2014656-021	RETICLE, BRIGHTNESS CONTROL	
1	1		96		2021240	COVER, SHIELD	
1	1		95		2021239	SHIELD, SWITCH A/S	
2	2		94		2021238-006	COVER, SWITCH	
2	2		93		2021238-005	COVER, SWITCH	
1	1		92		2021238-004	COVER, SWITCH	
1	1		91		2021238-003	COVER, SWITCH	
2	2		90		2021238-002	COVER, SWITCH	
3	3		89		2021238-001	COVER, SWITCH	
AR	AR	AR	88		1010702	SOLUTION, ETCHING, TEFLON	
7	7	7	87		1001489-5	SCREW, SOCKET HD CAP	
		8	86		2014798	LAMP, ELECTROLUMINESCENT, MODIFIED	
8	8	8	85		MS35649-24	NUT, PLAIN HEX	
8	8	4	84		NAS1352C02-4	SCREW, SOC. HD. CAP	
AR	AR	AR	83		1010683	CURING AGENT, AMINE	
AR	AR	AR	82		1010682	EPOXY RESIN	
2	2	2	81		NAS1352C02LL3	SCREW, SOC.HD. CAP., SELF LOCKING	
1	1	1	80		2021201	PLATE, SWITCH BLOCKOUT	
1	1	1	79		2021200	BUSHING, SWITCH BLOCKOUT	
2	2	2	78		2014763	SPACER PANEL	
AR	AR	AR	77		MIL-A-25055	ADHESIVE	
2	2	2	76		NAS1081C04D3L	SCREW, SET, SELF LOCK	
1	1	1	75		2014655	WHEEL, CONTROL	
2	2	2	74		1010999-6	LAMP, ELECTROLUMINESCENT	
4	4	4	73		1010630-4	SCREW, FLAT HD, HEX SOC.	
8	8	8	72		1010618-7	SCREW, BUTTON HD, HEX SOC.	
AR	AR	AR	71		1010657	EPOXY RESIN	
AR	AR	AR	70		1010686	CATALYST	
7	7	7	69		2014706	RETAINER, LAMP	
1	1	1	68		2014718	RETAINER, LAMP	
12	12	12	67		6014527	WASHER, SPHERICAL	
AR	AR	AR	66		QQ-W-343, TYPE S	WIRE, ELECT., 24AWG	
8	8	4	65		1010617-2	NUT, HEX, SELF-LOCKING	
			64				
2	2	2	63		1010617-4	NUT, HEX, SELF-LOCKING	
4	4	4	62		MS15795-803	WASHER, FLAT	
1	1	1	61		1006783-18	SCREW, BUTTON HD, HEX SOC.	
4	4	4	60		1006783-21	SCREW, BUTTON HD, HEX SOC.	
1	1	1	59		2014738	PANEL & LAMP, MATCHED ASSY OF	
1	1	1	58		2014737-011	PANEL & LAMP, MATCHED ASSY OF	
1	1	1	57		2014735	PANEL & LAMP, MATCHED ASSY OF	
8	8	8	56		2014725	SCREW, SHOULDER	
1	1	1	55		2014722	RETAINER, PANEL LEFT	
1	1	1	54		2014727	FRAME, ANNUNCIATOR	
1	1	1	53		2014721	RETAINER, PANEL	
1	1	1	52		2014723	RETAINER, PANEL CENTER	
2	2	2	51		2014705	RETAINER, PANEL	
1	1	1	50		2014703	RETAINER, PANEL	
1	1	1	49		2014702	RETAINER, PANEL	
36	36	36	48		1006783-9	SCREW, BUTTON HD	
1	1	1	47		2014719	PANEL & LAMP, MATCHED ASSY OF	
2	2	2	46		2014683	RETAINER, LIGHT	
4	4	8	45		1010477-12	SCREW, FLAT HD SELF LOCKING	
		1	44		1004260-181	NAMEPLATE	
1	1	1	43		2014736-011	PANEL & LAMP, MATCHED ASSY OF	
8	8	4	42		1010477-13	SCREW, FLAT HD SELF LOCKING	
4	4	4	41		1010676-1	TERMINAL	
26	26	26	40		1010623-3	TERMINAL, TURRET	
5	5	5	39		1001489-2	SCREW, SOCKET HD CAP	
17	17	17	38		1010630-14	SCREW, FLAT HEAD	
			37				
2	2	2	36		2014764-011	HANDLE ASSEMBLY	
		1	35		2014656-011	RETICLE, BRIGHTNESS CONTROL	
15	15	15	34		1011918-1	WASHER, CABLE CLAMP	
1	1	1	33		2014622	HARNESS	
1	1	1	32		1010625-2	LIGHT, INDICATOR	
1	1	1	31		1010475-1	CAP, PUSHBUTTON	
AR	AR	AR	30		1012504-2	PRIMER, METAL	
AR	AR	AR	29		1012504-1	PRIMER, METAL	
15	15	15	28		1000220-1 THRU -12	CLAMP, CABLE	
AR	AR	AR	27		1012503-1	COMPOUND, POLYURETHANE	
AR	AR	AR	26		1012503-2	COMPOUND, POLYURETHANE	
1	1	1	25		1023003	CAP, PUSHBUTTON	
AR	AR	AR	24		QQ-S-571 SN60WRAP2	SOLDER	
AR	AR	AR	23		MIL-F-14256	FLUX	
1	1	1	22		2014626	PANEL G&N IND CONT (INSEPARABLE)	
1	1	1	21		2014627	SUPPORT, HAND CONTROLLER	
