FIND	0	DRAWING	TITLE
1	5'	1010789-006	WIRE, 22 AWG YEL
2	5'	1010789-016	WIRE, 26 AWG YEL
3	10'	1010789-008	WIRE, 22 AWG, YEL, RED
4	10'	1010789-003	WIRE, 24 AWG, YEL, RED
5	10'	1010789-017	WIRE, 26 AWG, YEL, RED
6	10'	1010789-009	WIRE, 22 AWG, YEL, RED, GRN
7	5'	1010789-018	WIRE, 26 AWG, YEL, RED, GRN
8	75'	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
9	25'	1010789-002	WIRE, 24 AWG, YEL, RED, YEL JKT
10	1	2014742-011	CONNECTOR, ASSEMBLY, ELECTRICAL (56P18)
11	1	1010771-201	CONNECTOR, PLUG, ELECTRICAL (P13)
12	1	1010929-017	CONNECTOR, PLUG, ELECTRICAL (P14)
REF	X	1010770-2	CONTACT SOCKET, SUPPLIED WITH CONNECTORS 1010929 AND 1010771
14	60	1010955-1	CONTACT, MALE
15	52	1010955-2	CONTACT, MALE
17	17	1010958-1	PLUG, PROTECTIVE SEALING
18	24	1010402-2	SLEEVE, SOLDER
19	21	1012534-36	INSULATION, SLEEVING, ELEC (HEAT SHRINKABLE)
20	AR	1006277	SILICA, PULVERIZED, PYROGENIC
21	AR	1008822	COLORANT, EPOXY BASE
22	AR	1012504	PRIMER, METAL PARTS
23	1	2014670-4	ADAPTOR, CONNECTOR
24	1	2014670-10	ADAPTOR, CONNECTOR
25	AR	1012507-4	TAPE, LACING
27	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4" WIDE
28	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1" WIDE
29	AR	1010679	ADHESIVE, ACTIVTOR
30	AR	1010661	EPOXY RESIN
31	AR	1012503	COMPOUND, POTTING, POLYURETHANE
32	5'	1010789-011	WIRE, 24 AWG, YEL, YEL JKT
33	1	1012534-38	INSULATION, SLEEVING, ELEC (HEAT SHRINKABLE)
			
			PROOFED
