FIND	STRIKE	0	DRAWING	TITLE
1		5 FEET	1010789-006	WIRE, 22 AWG YEL
2		10 FEET	1010789-016	WIRE, 26 AWG YEL
3		30 FEET	1010789-008	WIRE, 22 AWG, YEL, RED
4		25 FEET	1010789-017	WIRE, 26 AWG, YEL, RED
5		5 FEET	1010789-009	WIRE, 22 AWG, YEL, RED, GRN
6		5 FEET	1010789-019	WIRE, 26 AWG, YEL, RED, GRN, BRN
7		26 FEET	1010707-1	WIRE, 29 AWG, RED JKT, RED, WHT, BLUE
8		40 FEET	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
9		35 FEET	1010789-002	WIRE, 24 AWG, BLK
10		1	1010929-001	CONNECTOR, PLUG, ELECTRICAL (P12)
11		1	1010965-1	CONNECTOR, PLUG, ELECTRICAL (P16)
12		1	1010965-2	CONNECTOR, PLUG, ELECTRICAL (P15)
REF		X	1010770-2	CONTACT, SOCKET SUPPLIED WITH CONNECTOR 1010929
REF		X	1010781-1	CONTACT, SOCKET SUPPLIED WITH CONNECTOR 1010965
15		98	1010955-1	CONTACT, MALE
16		84	1010955-2	CONTACT, MALE
17		1	2014743-011	CONNECTOR, PLUG, ELECTRICAL (P19)
18		13	1010958-1	PLUG, PROTECTIVE SEALING
19		30	1010984	PLUG, PROTECTIVE SEALING
20		33	1010402-2	SLEEVE, SOLDER
21		15	1012534-36	INSULATION, SLEEVING, ELEC (HEAT SHRINKABLE)
22		AR	1012503	COMPOUND, POTTING, POLYURETHANE
23		AR	1010679	ADHESIVE ACTIVATOR
24		AR	1010661	EPOXY RESIN
25		AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4 INCH WIDE
26		AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1 INCH WIDE
27	X	0	1006277	DELETED
28	X	0	1008822	DELETED
29		AR	1012504	PRIMER, METAL PARTS
30		29	1010862	BUSHING, SLEEVE
32		AR	1012507-4	TAPE, LACING
33		6	1012534-37	SLEEVE, INSULATION (HEAT SHRINKABLE)
34		2	2014670-6	ADAPTER, CONNECTOR
				
				PROOFED
