FIND	0	DRAWING	TITLE
1	5'	1010789-006	WIRE, 22 AWG, YEL
2	5'	1010789-001	WIRE, 24 AWG, YEL
3	5'	1010789-016	WIRE, 26 AWG, YEL
4	15'	1010789-003	WIRE, 24 AWG, YEL, RED
6	20'	1010789-018	WIRE, 26 AWG, YEL, RED, GRN
7	5'	1010789-005	WIRE, 24 AWG, YEL, RED, GRN, BRN
8	40'	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
9	10'	1010789-013	WIRE, 24 AWG, YEL, RED, GRN, YEL JKT
10	15'	1010789-002	WIRE, 24 AWG, BLK
11	5'	1010789-012	WIRE, 24 AWG, YEL, RED, YEL JKT
12	1	2014745-011	CONNECTOR, PLUG, ELECTRICAL (P26)
13	1	1010929-004	CONNECTOR, PLUG, ELECTRICAL (P24)
14	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010929
15	80	1010955-1	CONTACT, MALE
16	32	1010955-2	CONTACT, MALE
18	25	1010958-1	PLUG, PROTECTIVE, SEALING
19	19	1010402-2	SLEEVE, SOLDER
20	17	1012534-36	INSULATION, SLEEVING (HEAT SHRINKABLE)
21	AR	1006277	SILICA, PULVERIZED, PYROGENIC
22	AR	1008822	COLORANT, EPOXY BASE
23	AR	1012504	PRIMER, METAL PARTS
24	AR	1012503	COMPOUND, POTTING, POLYURETHANE
25	AR	1010679	ADHESIVE, ACTIVATOR
26	AR	1010661	EPOXY RESIN
27	1	2014670-4	ADAPTER, CONNECTOR
28	AR	1012507-4	TAPE, LACING
29	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1" WIDE
30	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4" WIDE
31	1'	1010789-024	WIRE, 26 AWG, BLK
			
			PROOFED
