-41	-31	-21	-11	DRAWING	TITLE	FIND
1	1			1008932-1	RESISTOR, VARIABLE	14
	2	2		MS35233-9	SCREW, PAN HD SLOTTED	13
	1	1		2021241	SPACER, COVER	12
	1	1		2021242	COVER, RETICLE, BRIGHTNESS	11
						
2	2	2	2	MS15795-802	WASHER, FLAT	10
AR	AR	AR	AR	MIL-S-22473	SEALING COMP, RETAINING, GRADE AA	9
2			2	MS35233-7	SCREW, PAN HD SLOTTED	8
4	4	4	4	1010628-2	SCREW, FLAT HD	7
1	1	1	1	1010457-5	ADAPTER, SWITCH ACTUATOR	6
2	2	2	2	NAS1081C02D2L	SCREW-SET, SELF LOCK	5
1	1	1	1	2014709	CAM-SWITCH ACTUATING	4
		1	1	1010916-1	RESISTOR, VARIABLE	3
1	1	1	1	1010901-1	SWITCH, SENSITIVE	2
1	1	1	1	2014638	BRACKET, POT MTG	1
						
					PROOFED	
