-21	-11	FIND	DRAWING	TITLE
4		19	MS171433	PIN, SPRING
4		18	2004148-010	WASHER
4		17	1004207	DRIVE CYLINDER
2		16	1008827-002	SCREW, CAPTIVE
6		15	2010768	GASKET
2		14	2010767-004	WASHER, STEP
4		13	2010767-003	WASHER, STEP
4		12	2010782-002	SCREW, JACK
2		11	2010769	SHELL, ELECT. CONN.
1		10	2010760	BASE, ELECT. CONN.
18	18	9	1006783-18	SCREW, BUTTON HD
	6	8	1004546-003	WASHER, FLAT
	4	7	1004546-001	WASHER, FLAT
	4	6	MS16633-4015	RING, RETAINING
	4	5	1004579-1	SCREW, JACKING
	2	4	1008827-1	SCREW, CAPTIVE
360	360	3	1010956-1	INSULATOR, MALE
	2	2	2014755	SHELL, ELEC CONN (INSEP ASSY)
	1	1	2010657	BASE, ELEC CONN (INSEP ASSY)
				
				PROOFED
