FIND	0	DRAWING	TITLE
1	7'	1010789–002	WIRE, 24 AWG, BLK
2	8'	1010789–003	WIRE, 24 AWG, YEL, RED
3	14'	1010789–012	WIRE, 24 AWG, YEL, RED, YEL JKT
4	1	1008825	CONNECTOR, PLUG, RED ANODIC FINISH (56P33)
5	1	1008825	CONNECTOR, PLUG, YEL ANODIC FINISH (56P34)
6	1	1008825	CONNECTOR, PLUG, GRN ANODIC FINISH (56P35)
7	1	1010929-114	CONNECTOR, PLUG (56P36)
REF	X	1010770-1	CONTACT, PIN, SUPPLIED WITH CONNECTOR 1010929
9	1	2014670-009	ADAPTER, CONNECTOR
10	7	1010958-001	PLUG, PROTECTIVE, DUST AND MOISTURE SEAL
11	3	1010402-2	SLEEVE, SOLDER, HIGH TEMPERATURE
12	3	1012534-37	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINK
13	1	1010811-4	BAND, IDENTIFICATION
14	AR	QQ-S-571 SN60 WRAP2	SOLDER
15	AR	QQ-S-571 SN60WS	SOLDER
16	AR	MIL-F-14256 TYPE A	FLUX
17	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4" WIDE
18	AR	1012507-004	TAPE, LACING AND TYING
19	AR	1010661	EPOXY RESIN
20	AR	1010679	ADHESIVE, ACTIVATOR
21	AR	1012503	COMPOUND, POTTING, POLYURETHANE
22	AR	1012504	PRIMER, METAL PARTS
			
			PROOFED
