FIND	TITLE	QTY	-221	-211	-201	-191	-181	-171	-161	-151	-141	-131	-121	-111	-101	-91	-81	-71	-61	-51	-41	-21	-11
116	NUT, SELF LOCKING	4																			MS21043-04		
115	WASHER, FLAT	4																			MS15795-704		
114	SCREW, BUTTON HD.	4																			1006783-19		
113	BRACKET, CONNECTOR	1																			2014799		
112	AMPLIFIER PLATE ASSY	1																			2014801		
111	WIRING HARNESS “K”	1																			2014767		
110	LONG EYE RELIEF EYEPIECE ASSY (SXT)	1	2012748-011	2012748-011	2012748-000	2012748-000	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-011	2012748-000	2012748-011	2012748-011	2012748-011	1011787-000	
109	SXT EYEPIECE ASSY	1	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-021	2012700-011	2012700-011	2012700-000	2012700-011	2012700-021	2012700-011	2012700-000	2012700-000
108	SCT PRISM HOUSING ASSY	1	2012775-011	2012775-011	2012775-000	2012775-000	2012775-011	2012775-000	2012775-011	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-000	2012775-011	2012775-000	2012775-000	2012667-000
107	SCT EYEPIECE ASSY	1	2012793-021	2012793-021	2012793-011	2012793-011	2012793-021	2012793-011	2012793-021	2012793-011	2012793-011	2012793-011	2012793-011	2012793-011	2012793-011	2012793-000	2012793-000	2012793-000	2012793-000	2012793-021	2012793-000	2012793-000	2012719-000
106	SXT MIRROR HOUSING ASSY	1	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-021	2012791-011	2012791-011	2012791-011	2012791-000	2012791-000	2012791-000	2012791-011	2012791-021	2012791-000	2012791-000	2012699-000
105	LONG EYE RELIEF EYEPIECE ASSY (SCT)	1	2012790-011	2012790-011	2012790-000	2012790-000	2012790-011	2012790-011	2012790-011	2012790-011	2012790-011	2012790-000	2012790-011	2012790-011	2012790-011	2012790-011	2012790-011	2012790-000	2012790-011	2012790-011	2012790-000	2012790-000	
104	OPTICAL UNIT ASSY	1																					
103	OPTICAL UNIT & BELLOWS ASSY	1	2010790-191																				
102	SCT DUST COVER	1	2012797-021																				
101	SXT DUST COVER	1	2012796-021																				
100	NAV BASE ASSY	1	2899982-031																				
99	BOLT, HEX CAP	4	NAS074V19																				
98	BUSHING, SLEEVING – IMU MOUNT	2	2021204																				
97	SPRINT – SEAL RETAINING	6	1899971																				
96	SEAL, PLAIN ENCASED	1	1899997-001 THRU -002																				
95	SCREW, CAP – SOCKET HEAD, FLAT	8																					
94	WASHER, SHOULDERED & RECESSED	3	2899991																				
93	PACKING, PREFORMED, RETAINED	2																					
92	SEAL – PLAIN ENCASED	2																					
91	WASHER, FLAT	24																					
90	NUT, SELF LOCKING	24																					
89	OPTICS TO SPACECRAFT SEAL ASSY (SXT)	1																					
88	OPTICS TO SPACECRAFT SEAL ASSY (SCT)	1																					
87	BOLT, HEX CAP	2																					
86	BOLT, IMU MOUNT	2																					
85	COLLAR, CENTERING	3	2899984-001																				
84	WASHER – SPRING TENSION	6	2899979																				
83	WASHER, FLAT, LUBRICATED	3	2899977-001																				
82	BOLT, EXTERNAL WRENCHING	3	1010728-3																				
81	BALL, PRECISION	3	1899967-001																				
80	BOLT, INTERNAL WRENCHING	4	1010727-1																				
79	WASHER, FLAT	4	1897006-063																				
78	WASHER, FLAT	2	1897006-053																				
77	BOLT, INTERNAL WRENCHING	2	1010727-3																				
76	MOUNTING ASSY, PLANE	1	2899988-011																				
75	MOUNTING ASSY, LINE	1	2899987-011																				
74	MOUNTING ASSY, FIXED	1	2899986-011																				
73	NAV BASE, OPT UNIT & BELLOWS INST KIT	1	2899950-021																				
72																							
71																							
70	NUT, SELF LOCKING	1	MS21045-C3																				
69	SCREW, SOC HD	2	NAS1352C08-5																				
68	SCREW, SOC HD	1	MS16996-10																				
67	SCREW, SOC HD	3	MS16996-9																				
66	SCREW, BUTTON HD.	2	1006783-27																				
65	CLAMP	7	1010705-7 THRU -18																				
64	CLAMP	1	1010705-3 or 1010705-4																				
63	CLAMP, LOOP, HINGED	3	1010400-105 THRU -110																				
62	CLAMP, LOOP, HINGED	15	1010400-1 THRU -7																				
61	CLAMP, LOOP, HINGED	3	1010349-4 THRU -6 or 1010400-1																				
60	CLAMP, LOOP – CUSHIONED, MULTIPLE TYPE	2	100807-3 THRU -5																				
59	BRACKET, CABLE CLAMP	2	2014731																				
58	WIRING HARNESS H	1	2021319																				
57	WIRING HARNESS G	1	2021318																				
56	WIRING HARNESS F	1	2021317																				
55	WIRING HARNESS E	1	2021316																				
54	WIRING HARNESS D	1	2021315																				
53	WIRING HARNESS C	1	2021314																				
52	WIRING HARNESS B	1	2021313																				
51	WIRING HARNESS A	1	2021406																				
50	G & N INTERCONNECT HARNESS GROUP (C/M BLOCK II)	1	2014567-071																				
49	WIRING HARNESS J	1																					
48	HOSE ASSY, FLEX, IMU TO S/C	2	2018821-021																				
47	SCT LER EYEPIECE HIGH DENSITY FILTER ASSY	1	2012816-000																				
46	SCT STD EYEPIECE HIGH DENSITY FILTER ASSY	1	2012808-000																				
45	DUCT COVER ASSY SXT	1	1021362-011																				
44	DUCT COVER ASSY SCT	1	1021352-011																				
43	INSULATOR	7	1008493																				
42	SCREW, SLOTTED, SPECIAL	4	1008488-000																				
41	SCREW	4	1008487-003																				
40	SCREW	1	1008487-002																				
39	SCREW	4	1008487-001																				
38	WASHER	13	1008486																				
37	CROWN HALF & PLUG ASSY, SXT	1	1021378-021																				
36	CROWN HALF & PLUG ASSY, SCT	1	1021377-021																				
35	ASTRO SEXTANT PASSIVE THERMAL PROTECTIVE SYSTEM ASSY	1	1021373-051																				
34	OPTICS SHROUD ASSY	1	2021394-011																				
33	HANDLE ASSY	2	2021301-011																				
32	G & N INDICATOR CONTROL PANEL ASSY	1	2021290-051																				
31	FRAME ASSY IND PANEL	1																					
30	GASKET, RETAINED	2	2021379-002																				
29	GASKET, RETAINED	2	2021379-001																				
28	GASKET, RETAINED	1	2021378-003																				
27	GASKET, RETAINED	2	2021378-002																				
26	PSA	1	2007200-181																				
25	MARKER, IDENTIFICATION – OPTION, CHECK LISTS & ALARM CODES	1																					
24	PANEL, LAMP RETAINER – STAR LIST	1																					
23	PANEL, LAMP RETAINER	1																					
22	GASKET, RETAINED	1	2010784-013																				
21	CDU	1	2007222-271																				
20	WASHER, FLAT	8	1897006-019																				
19	SCREW, SOC HD	8	MS16996-10																				
18	EYEPIECE STOWAGE UNIT	1	2021382-031																				
17	PEA	1	2007201-031																				
16	IMU	1	2018601-251																				
15	IMU & PEA	1	2007203-121																				
14	IMU & ASSOC ELECTRONICS THERMOCOUPLE ASSY	1																					
13	PANEL, INDICATOR – ALIGNMENT PROCEDURES	1																					
12	SIGNAL CONDITIONER ASSY	1	2007234-021																				
11	RETAINER, LAMP	2																					
10	COMPUTER PROGRAM ASSY (FLIGHT ROPES)	1																					
9	INSTALLATION KIT COMPUTER GROUP C/M	1	2004199-011																				
8	AGC DSKY ASSEMBLY	2																					
7	UNIVERSAL DSKY	2	2003994-121																				
6	PANEL, INDICATOR – SOUTHERN STAR CHART	1																					
5	PANEL, INDICATOR – NORTHERN STAR CHART	1																					
4	COMPUTER PROGRAM ASSEMBLY (TEST ROPES)	1	2021104-051																				
3	GASKET, SEAL 360 PIN CONN.	1	1006380																				
2	COMPUTER ASSEMBLY	1	2003993-091																				
1	APOLLO RANGEFINDER	1																					
