-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND
1							2018603-071	MIDDLE AXIS ASSEMBLY	27
	1						2018603-061	MIDDLE AXIS ASSEMBLY	26
		1					2018603-051	MIDDLE AXIS ASSEMBLY	25
			1				2018603-041	MIDDLE AXIS ASSEMBLY	24
AR	AR	AR	AR	AR	AR	AR	1008930	GREASE MOLYBDENUM DISULFIDE	23
				1			2018603-031	MIDDLE AXIS ASSEMBLY	22
AR	AR	AR	AR	AR	AR	AR	MIL-I-15126 TYPE ACT	TAPE, ADH., ELEC. PRESS. SENSITIVE	21
	4	4	4	4	4		2018841	BRACKET, CONN	20
	2	2	2	2	2		2018842	BRACKET, CONN	19
8	8	8	8	8	8	8	2018812	WASHER BRACKET, CONN MG & OG	18
					1		2018603-021	MIDDLE AXIS ASSEMBLY	17
2	2	2	2	2	2	2	1010490-078	SLEEVING, ELECTRICAL, HEAT SHRINK	16
1	1	1	1	1	1	1	2018797	WIRING HARNESS “B” OA.	15
1	1	1	1	1	1	1	2018798	WIRING HARNESS “C” OA.	14
6	6	6	6	6	6	6	1000223	WASHER, CABLE CLAMP	13
6	6	6	6	6	6	6	1000220 SEE NOTE 6	CLAMP, CABLE	12
4	4	4	4	4	4	4	MS15795-803	WASHER, FLAT, METAL, ROUND	11
12	12	12	12	12	12	12	1001489-18	SCREW, HEX, SOC HD	10
22	22	22	22	22	22	22	1001488-1	SCREW, HEX, SOC HD, SELF-LKG	9
6	6	6	6	6	6	6	1001489-2	SCREW, HEX, SOC HD	8
2	2	2	2	2	2	2	1000170-12	FUCE, PIGTAIL, SUBMINIATURE	7
4						4	2018794	BRACKET CONNECTOR OUTER GIMBAL	6
2						2	2018795	BRACKET, CONNECTOR	5
2	2	2	2	2	2	2	1010799	CAPACITOR	4
2	2	2	2	2	2	2	2018644	BLOWER	3
1	1	1	1	1	1	1	2018761	HOUSING ASSEMBLY, OUTER GIMBAL	2
						1	2018603-011	MIDDLE AXIS ASSEMBLY	1
									
								PROOFED	
