-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
1							2018604-071	INNER AXIS ASSEMBLY	25	
	1						2018604-061	INNER AXIS ASSEMBLY	24	
		1					2018604-051	INNER AXIS ASSEMBLY	23	
			1				2018604-041	INNER AXIS ASSEMBLY	22	
AR	AR	AR	AR	AR	AR	AR	1008930	GREASE, MOLYBDENUM DISULFIDE	21	
				1			2018604-031	INNER AXIS ASSEMBLY	20	
AR	AR	AR	AR	AR	AR	AR	MIL-I-15126 TYPE ACT	TAPE, ADH. ELEC. PRESS SENSITIVE	19	
	1	1	1	1	1		2018610-021	IGSA TORQUE MOTOR MIDDLE AXIS	18	
	1	1	1	1	1		2018613-021	IGSA RESOLVER MIDDLE AXIS	17	
	4	4	4	4	4		2018841	BRACKET, CONN	16	
	8	8	8	8	8		MS15795-803	WASHER, FLAT ROUND	15	
	8	8	8	8	8		2018843 SEE NOTE 5	CABLE, CLAMP	14	
	1	1	1	1	1		2018758-001	MIDDLE GIMBAL HOUSING ASSEMBLY	13	
8	8	8	8	8	8	8	2018812	WASHER BRACKET, CONN MID & OUTER GMBL	12	
					1		2018604-021	INNER AXIS ASSEMBLY	11	
					8	8	MS15795-303	WASHER, FLAT, METAL, ROUND	10	X
12	12	12	12	12	12	12	1001489-18	SCREW HEX SOC HD	9	
16	16	16	16	16	16	16	1001488-1	SCREW HEX SOC HD	8	
8						8	1000223	WASHER, CABLE CLAMP	7	
8						8	1000220 SEE NOTE 5	CABLE CLAMP	6	
4						4	2018790	BRACKT, CONN MIDDLE GIMBAL	5	
1						1	2018610-011	IGSA TORQUE MOTOR MIDDLE AXIS	4	
1						1	2018613-011	IGSA RESOLVER MIDDLE AXIS	3	
						1	2018604-011	INNER AXIS ASSEMBLY	2	
1						1	2018758-000	MIDDLE GIMBAL HOUSING ASSEMBLY	1	
										
								PROOFED		
