-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	NOTE
		6					NAS1352-CO2LL4	SCREW HEX SOC HD, SELF LOCKING	65	
1							2021401	WIRING HARNESS “A”, STABLE MEM	64	
	1	1					2021397	WIRING HARNESS “A”, STABLE MEM	63	
		1	1	1			1010928-184	RESISTOR, R2	62	
		3	3	3			2007060-021	PIP PREAMP ASSEMBLY	61	
AR	AR	AR	AR	AR	AR	AR	MIL-I-15126 TYPE ACT	TAPE, ADH. ELEC. PRESS SENSITIVE	60	
	6	6	6	6	6		1001488-9	SCREW, HEX, SOC. HD. SELF-LOCKING	59	
AR	AR	AR	AR	AR	AR		MIL-S-8660 SEE NOTE 4	GREASE, SILICONE DOW CORNING NO. 4	58	The original drawing calls out MIL-I-8660, of which I can find no trace.  I believe it is a misprint for MIL-S-8660, for which DOW CORNING NO. 4 (as also noted in  the drawing) is a compliant product.
1	1	1	1	1	1	1	2018838	BRACKET, CONN. 34 PIN	57	
1	1	1	1	1	1	1	2018837	BRACKET, CONN. 44 PIN	56	
	1	1	1	1	1		1011625-15	SCREW HEX SOC HD, SELF LOCKING	55	
1						1	1010928-295	RESISTOR FIXED	54	
	1	1	1	1	1		2018750-011	HOUSING STABLE MEMBER	53	
	1	1	1	1	1		2018830	SHIELD THERMOSTAT	52	
	1	1	1	1	1		2007172-011	BLOWER CONTROL MOD ASSY	51	
	1	1	1	1	1		2018829-2	SHIM BLOWER CONT THERMO	50	
	1	1	1	1	1		2018825-011	THERMO & HTR ASSY BLOWER CONT	49	
			1	1	1		2018828	WIRING HARNESS “A”, STABLE MEM	48	
	1	1	1	1	1		2018826-011	THERMO & HTR ASSY TEMP CONT	47	
	1	1	1	1	1		2018824-011	THERMO & HTR ASSY TEMP ALARM LO	46	
	1	1	1	1	1		2018823-011	THERMO & HTR ASSY TEMP ALARM HI	45	
									44	
9	9	9	9	9	9	9	1010891-15	SCREW, BUT. HD., SPL. SOC., SELF-LOCKING	43	
									42	
									41	
									40	
AR	AR	AR	AR	AR	AR	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED	39	
						AR	1006879 SEE NOTE 4	SILICONE COMPOUND THERMO.	38	
2	2	2	2	2	2	2	MS15795-802	WASHER, FLAT, METAL, ROUND	37	
6	6	6	6	6	6	6	MS15795-703	WASHER, FLAT, METAL, ROUND	36	
3	2	2	2	2	2	3	1011625-11	SCREW HEX SOC HD, SELF LOCKING	35	
18	22	22	22	22	22	18	1011625-9	SCREW HEX SOC HD, SELF LOCKING	34	
									33	
8	2	2	2	2	2	8	1001488-10	SCREW HEX SOC HD, SELF LOCKING	32	
3	3	3	3	3	3	3	1001488-7	SCREW HEX SOC HD, SELF LOCKING	31	
3	3	3	3	3	3	3	1001488-6	SCREW HEX SOC HD, SELF LOCKING	30	
									29	
33	33	33	33	33	33	33	1001488-4	SCREW HEX SOC HD, SELF LOCKING	28	
5	7	7	7	7	7	5	1001488-3	SCREW HEX SOC HD, SELF LOCKING	27	
12	15	14	14	14	15	12	1001488-2	SCREW HEX SOC HD, SELF LOCKING	26	
1						1	1001488-1	SCREW HEX SOC HD, SELF LOCKING	25	
8	8	7	7	7	8	8	1000223	WASHER, CABLE CLAMP	24	
8	8	7	7	7	8	8	1000220 SEE NOTE 8	CLAMP, CABLE	23	
						1	2018796	WIRING HARNESS “A”, STABLE MEM	22	
3	3	3	3	3	3	3	1001600-1	TERMINAL, INSULATED	21	
									20	
									19	
1	1	1	1	1	1	1	2018778	CLAMP, THERMOSTAT	18	
1	1	1	1	1	1	1	2018776	CLAMP, THERMOSTAT	17	
5	8	7	7	7	8	5	1010928 SEE NOTE 7	RESISTOR, R1-R6, R9-R10	16	
2	2	2	2	2	2	2	1001485	THERMOSTAT, SAFETY	15	
2	2	2	2	2	2	2	2018641	HTR. ASSY. STABLE MEMBER	14	
1						1	2018637	THERMO & HTR ASSY TEMP CONT	13	
1						1	2018636	THERMO ASSY TEMP ALARM	12	
1						1	2018635	TERMO & HTR ASSY BLO. CONTROL	11	
1						1	2007171-011	BLO. CONTROL MODULE ASSY	10	
1	1	1	1	1	1	1	2007064-011	TEMP. CONTROL MODULE ASSY	9	
1	1	1	1	1	1	1	2007170-011	TEMP. CONTROL MODULE ASSY	8	
1	1	1	1	1	1	1	2007019-011	DUCOSYN THRANSFORMER ASSY	7	
3	3				3	3	2007060-011	PIP PREAMP ASSEMBLY	6	
									5	
3	3	3	3	3	3	3	2018820	CLAMP, SPLIT, GYRO	4	
3	3	3	3	3	3	3	2018741	HTR & TAPERED MOUNT ASSY	3	
									2	
1						1	2018750-000	HOUSING STABLE MEMBER	1	
										
								PROOFED		
