-11	DRAWING	TITLE	FIND
6	1001489-22	SCREW, HEX SOC HEAD	19
6	1001488-18	SCREW, HEX SOC HEAD S.L.	18
1	1001488-2	SCREW, HEX SOC HEAD S.L.	17
			16
			15
AR	1010996	ADHESIVE	14
AR	MIL-A-13883 TYPE I	ADH, 3M EC1099	13
1	1010490-286	INSULATION SLEEVING	12
1	1010490-110	INSULATION SLEEVING	11
1	1010490-170	INSULATION SLEEVING	10
1	1010490-350	INSULATION SLEEVING	9
1	2018621	BEARING, BALL, DUPLEX	8
1	2018822	RETAINER, WIRE, I.A.	7
1	2018723	NUT, BRG, RETAINER	6
1	2018722	PLATE, BRG, RETAINER	5
1	2018631	RESOLVER, MULTIPLE SPEED	4
1	2018632	RESOLVER, GYRO ERROR	3
1	2018713	SHAFT, STUB, RSVR I.A.	2
1	2018729	HOUSING BRG, RSVR I.A.	1
			
		PROOFED	
