-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR	MIL-I-15126 TYPE ACT	TAPE, ADH, ELEC, PRESS SENSITIVE 1/2 WIDE	36	
AR	AR	MIL-I-15126 TYPE MFT	TAPE – MYLAR INSULATION 1/4 WIDTH	35	
1	1	1001488-4	SCREW HEX SOC HD SELF LOCKING	34	
1	1	MS15795-803	WASHER, FLAT, METAL, ROUND	33	
AR	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED	32	
AR	AR	1010870	GREASE, LUBRICATING	31	
AR	AR	QQ-S-571 SN60	SOLDER	30	
AR	AR	QQ-S-571-SN10	SOLDER	29	
61	61	1010862	BUSHING, SLEEVE	28	
61	61	1010781-1	CONTACT, ELEC	27	X
1	1	1000223	WASHER, CABLE CLAMP	26	
1	1	1000220 SEE NOTE 19	CLAMP, CABLE	25	
1	1	1010416-10	WIRE AWG 28E WHT, 10” LONG	24	
1	1	1010416-1	WIRE AWG 28E BLK,, 10” LONG	23	
50	50	1006776-18	INSULATION, SLEEVING ELEC 5/16 LONG	22	
1	1	1010490-114	INSULATION, SLEEVING ELEC HEAT SHRINK	21	
3	3	1000020-4	SHIELD & GRD ASSY	20	
3	3	1000020-10	SHIELD & GRD ASSY	19	
2	2	1010867-2	SCREW, FLAT HD SELF LOCKING SOC SPLINE	18	
2	2	1010867-12	SCREW, FLAT HD SELF LOCKING SOC SPLINE	17	
4	4	1010867-18	SCREW, FLAT HD SELF LOCKING SOC SPLINE	16	
6	6	1010488-2	SCREW, HEX SOC HD SELF LOCKING	15	
6	6	1010488-18	SCREW, HEX SOC HD SELF LOCKING	14	
6	6	1001489-22	SCREW, HEX SOC HD	13	
2	2	1010917-106	CONNECTOR, ELEC, RECEPTACLE	12	
1	1	1010783-2	CONNECTOR, ELEC, RECEPTACLE	11	
2	2	1000100-1	TERMINAL INSULATED	10	
1	1	2018621	BALL BEARING DUPLEX	9	
2	2	2018731	CLIP WIRE RETAINER	8	
1	1	MS16624-4075	RING, RETAINING, EXTERNAL, BASIC	7	
6	6	2018756	CLIP RETAINER TORQUE MOTOR OA	6	
1	1	2018766	PLATE BRG RETAINER TORQUE MOT OA	5	
1	1	2018625	SLIP RING ASSY 50 CONTACT	4	
1	1	2018629	MOTOR, TORQUE, DC, FRAMELESS	3	
1	1	2018754	SHAFT, STUB, TORQUE MOTOR OA	2	
1	1	2018755	HOUSING BRG TORQUE MOTOR OUTER AXIS	1	
					
			PROOFED		
