-21	-11	DRAWING	TITLE	FIND	STRIKE
1	1	2018847	WIRE GUIDE, BRG HSG, T.M., M.A.	36	
AR	AR	MIL-I-15126 TYPE MFT 1/4 WIDTH	TAPE – MYLAR INSULATION	35	
2	2	1000020-13	SHIELD & GROUND ASSY	34	
'4.0”	'4.0”	1010416-3	WIRE, AWG 28E RED	33	
AR	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED	32	
AR	AR	1010870	GREASE LUBRICATING	31	
AR	AR	QQ-S-571 SN60	SOLDER	30	
AR	AR	QQ-S-571 SN10	SOLDER	29	
1	1	1010490-054	INSULATION SLEEVING ELEC HEAT SHRINK	28	
14	14	1006776-14	INSULATION, SLEEVING ELEC 5/16 LONG	27	
64	64	1006776-18	INSULATION, SLEEVING ELEC 5/16 LONG	26	
'10.0”	'10.0”	1010416-10	WIRE, AWG 28E WHITE	25	
'14.0”	'14.0”	1010416-1	WIRE, AWG 28E BLACK	24	
2	2	1000020-6	SHIELD & GROUND ASSY	23	
2	2	1000020-4	SHIELD & GROUND ASSY	22	X
2	2	1010917-106	CONN ELEC RECEPT 26 PIN	21	
2	2	1010917-806	CONN ELEC PLUG 26 PIN	20	
4	4	1010891-12	SCREW, BUT. HD SELF LKG SOC SPLINE	19	
2	2	1010867-2	SCREW, FLAT HD SELF LKG SOC SPLINE	18	
2	2	1010867-12	SCREW, FLAT HD SELF LKG SOC SPLINE	17	
4	4	1010867-17	SCREW, FLAT HD SELF LKG SOC SPLINE	16	
6	6	1001488-2	SCREW, HEX SOC HD SELF-LOCKING	15	
6	6	1001488-18	SCREW, HEX SOC HD SELF-LOCKING	14	
6	6	1001489-22	SCREW, HEX SOC HD	13	
6	6	2018745	CLIP, RETAINER TORQUE MOTOR I.A. & M.A.	12	
4	4	MS15795-703	WASHER, FLAT, METAL, ROUND	11	
2	2	1000100-1	TERMINAL, INSULATED	10	
1	1	2018621	BALL BEARING DUPLEX	9	
2	2	2018731	CLIP, WIRE RETAINER	8	
1	1	MS16624-4075	RING, RETAINING EXTERNAL BASIC	7	
1	1	2018783	WIRE GUIDE, BRG HSG, T.M., M.A.	6	X
1	1	2018753	PLATE, BRG RETAINER TORQUE MOT. M.A.	5	
1	1	2018624	SLIP RING 40 CONTACT	4	
1	1	2018623	MOTOR, TORQUE DC FRAMELESS	3	
1	1	2018748	SHAFT, STUB TORQUE MOTOR M.A.	2	
1	1	2018749	HOUSING, BRG, TORQUE MOTOR M.A.	1	
					
			PROOFED		
