-21	-11	FIND	DRAWING	TITLE
1	1	30	2018845	WIRE GUIDE BRG HSG T.M., I.A.
AR	AR	29	MIL-T-713 TYPE P CLASS 2	TAPE NYLON WAXED
AR	AR	28	QQ-S-571 SN60	SOLDER
AR	AR	27	QQ-S-571 SN10	SOLDER
AR	AR	26	1010870	GREASE, LUBRICATING
'8.0”	'8.0”	25	1010416-1	WIRE AWG 28E BLACK
'8.0”	'8.0”	24	1010416-10	WIRE AWG 28E WHITE
82	82	23	1006776-18	INS SLEEVING ELEC 5/16 LONG
3	3	22	1000020-4	SHIELD AND GROUND ASSY
1	1	21	1010917-109	CONN ELEC RECP 44 PIN
2	2	20	1010917-806	CONN ELEC PLUG 26 IN
1	1	19	1010490-054	INS SLEEVING ELECT HEAT SHRINK
4	4	18	MS15795-703	WASHER, FLAT, METAL ROUND
4	4	17	1010891-12	SCR BUTTON HD SELF-LOCKING
2	2	16	1010891-2	SCR BUTTON HD SELF-LOCKING
6	6	15	1001488-18	SCR HEX SCH SELF-LOCKING
7	7	14	1001488-2	SCR HEX SCH SELF-LOCKING
6	6	13	1001489-22	SCR HEX SCH
4	4	12	1010867-17	SCR FH SELF LOCKING SOC SPLINE
2	2	11	1000100-1	TERMINAL INSULATED
1	1	10	MS16624-4075	RING REG. EXTERNAL BASIC
1	1	9	2018822	RET. WIRE INNER AXIS
6	6	8	2018745	CLIP RET. TOR MOT INNER AXIS
1	1	7	2018623	MOT TOR DC FRAMELESS
		6		
1	1	5	2018747	PLATE BEARING RETAINER T.M. I.A.
1	1	4	2018621	BALL BEARING DUPLEX
1	1	3	2018634	SLIP RING ASSY ELEC 40 CONTACT
1	1	2	2018743	SHAFT STUP TOR MOT INNER AXIS
1	1	1	2018746	HSG BRG TORQUE MOTOR I.A.
				
				PROOFED
