-21	-11	FIND	DRAWING	TITLE
AR	AR	44	MIL-I-15126 TYPE ACT	TAPE, ADH, ELEC. PRESS SENSITIVE 1/2 WIDE
AR	AR	43	MIL-I-15126 TYPE MFT	TAPE – MYLAR INSULATION 1/4 WIDTH
1		42	1010353-13	RELAY ELECTRO MAG SENSITIVE
3	1	41	MS15795-803	WASHER, FLAT METAL ROUND
AR	AR	40	1006835	CURING AGENT
AR	AR	39	1006834	RESIN
2	2	38	2021504-44	RESISTOR
'10.0”	'10.0”	37	1010416-4	WIRE AWG 28E ORN 10” LONG
'10.0”	'10.0”	36	1010416-5	WIRE AWG 28E YEL 10” LONG
	1	35	1000223	WASHER, CABLE CLAMP
1	2	34	1000220 SEE NOTE 15	CLAMP, CABLE
1	1	33	1010717-3	TERMINAL, LUG
AR	AR	32	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED
1	1	31	1010717-1	TERMINA, LUG
1	1	30	1000020-11	SHIELD & GROUND ASSY
2 11”	2 11”	29	1010778-2	WIRE, SHIELDED, TEFLON, MULTICOND 11” LONG
'16.0”	'16.0”	28	'1010416-10	WIRE AWG 28E ORN 10” LONG
'30.0”	'30.0”	27	'1010416-9	WIRE AWG 28E GY 30” LONG
'25.0”	'25.0”	26	'1010416-8	WIRE AWG 28E VIO 25” LONG
'18.0”	'18.0”	25	'1010416-7	WIRE AWG 28E BLU 18” LONG
'15.0”	'15.0”	24	'1010416-6	WIRE AWG 28E GRN 15” LONG
'20.0”	'20.0”	23	'1010416-3	WIRE AWG 28E RED 20” LONG
'20.0”	'20.0”	22	'1010416-2	WIRE AWG 28E BRN 20” LONG
'42.0”	'42.0”	21	'1010416-1	WIRE AWG 28E BLK 42” LONG
2	2	20	1010490-112	INSULATION SLEEVING ELEC HEAT SHRINK
2	2	19	1010490-052	INSULATION SLEEVING ELEC HEAT SHRINK
13	13	18	1006776-14	INSULATION SLEEVING ELEC 5/16 LONG
36	36	17	1006776-18	INSULATION SLEEVING ELEC 5/16 LONG
3	3	16	MS15795-705	WASHER, FLAT METAL ROUND
2	2	15	1010867-2	SCREW, SELF-LKG, FLAT HD, SOC SPLINE
2	1	14	1001488-1	SCREW, HEX SOC HD, SELF-LKG
3	3	13	1001488-8	SCREW, HEX SOC HD, SELF-LKG
3	3	12	1010891-23	SCREW, BUTTON HD SELF-LKG SOC SPLINE
1	2	11	1001488-2	SCREW, HEX SOC HD, SELF-LKG
1	1	10	2018792	GUIDE, WIRE ASSEMBLY
	1	9	1010353-10	RELAY, ELECTRO MAG, SENSITIVE
61	61	8	1010862	BUSHING, SLEEVE
61	61	7	1010781-1	CONTACT ELEC
1	1	6	1010783-1	CONNECTOR, ELEC, RECP, 61 PINS
2	2	5	1010917-901	CONNECTOR, ELEC, RECP, 7 PINS
2	2	4	1010917-106	CONNECTOR, ELEC, RECP, 26 PINS
1	1	3	2007204-011	PRECISION RESOLVER ALIGNMENT ASSY
1	1	2	2018625	SLIP RING ASSEMBLY, 50 CONTACT
1	1	1	2018606-011	RESOLVER ASSEMBLY, OUTER AXIS
				
				PROOFED
