FIND	-11	DRAWING	TITLE
1	13' 3.75"	1010416-1	WIRE- AWG 28E BLK
2	4' 5.12"	1010416-2	WIRE- AWG 28E BRN
3	8' 2.37"	1010416-3	WIRE- AWG 28E RED
4	11' 4.87"	1010416-4	WIRE- AWG 28E ORN
5	13' 4.87"	1010416-5	WIRE- AWG 28E YEL
6	18' 1.60"	1010416-6	WIRE- AWG 28E GRN
7	15' 10"	1010416-7	WIRE- AWG 28E BLU
8	16' 9"	1010416-8	WIRE- AWG 28E VIO
9	6' 7.25"	1010416-9	WIRE- AWG 28E GY
10	4' 7"	1010416-10	WIRE- AWG 28E WHT
11	5' 6.50"	1010778-2	WIRE- AWG 28E SHLDED
12	1	1010917-808	CONNECTOR-RECEP (P13)
13	1	1010917-809	CONNECTOR-RECEP (P14)
14	3	1010917-906	CONNECTOR-RECEP (P15, 16, 17)
15	3	1001497-2	CONNECTOR-RECEP (P18, 19, 20)
16	72	1006776-18	INSULATION-SLEEVING .31 +/- .016LG.
17	42	1006776-14	INSULATION-SLEEVING .31 +/- .016LG.
18	14	1010490-080	INSULATION-SLEEVING; HEAT SHRINK
19	2	1010476-112	INSULATION-SLEEVING; HEAT SHRINK
20	3	1010717-1	TERMINAL LUG
21	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED, BLACK
22	1	2018810-1	SHIELD & GROUND ASSY
23	1	2018810-2	SHIELD & GROUND ASSY
24	1	2018810-3	SHIELD & GROUND ASSY
25	1	2018810-4	SHIELD & GROUND ASSY
26	1	2018810-5	SHIELD & GROUND ASSY
27	1	2018810-6	SHIELD & GROUND ASSY
28	13"	1010416-31	WIRE AWG 24, BLK
29	4"	1010416-33	WIRE AWG 24, RED
30	13"	1010416-37	WIRE AWG 24, BLU
31	3.75"	1010416-36	WIRE AWG 24, GRN
			
			PROOFED
