-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
42	42	42	42	132	MS51957-4	SCREW, PAN HD, CROSS RECESS	
				131			
				130			
				129			
				128			
				127			
				126			
				125			
				124			
1				123	1004260-582	NAMEPLATE	
	X			REF	2021421	SCHEMATIC	
	X			REF	2021420	WIRING DIAGRAM	
	1			120	2021419	HARNESS	
	1			119	1004260-578	NAMEPLATE	
	1			118	2021326	PANEL, LAMP RETAINER – OPTICS	
	1			117	MS171436	PIN, SPRING	
	1			116	2021416	CAP, PUSHBUTTON	
	1			115	1010907-2	SWITCH, PUSHBUTTON	
		1		114	1004260-568	NAMEPLATE	
AR	AR	AR	AR	113	1008937-003	TAPE, ALUMINUM FOIL	
AR	AR	AR	AR	112	1012543-003	LUSTERLESS ENAMEL (GRAY)	
		1		111	2021426	PANEL, LAMP RETAINER – (VERB-NOUN)	
		1		110	2021425	PANEL, LAMP RETAINER – (MAJ MOD)	
1		1		109	2021424	PANEL, LAMP RETAINER – (OPTICS)	
1	1	1		108	2021423	PANEL, LAMP RETAINER – (UP TEL)	
1	1	1		107	2021422	PANEL, LAMP RETAINER – (M-M REJ)	
X		X	X	REF	2021336	WIRING DIAGRAM	
AR	AR	AR	AR	105	1008937-007	TAPE, PRESS SENSITIVE ALUM FOIL BACKED	
4	4	4	4	104	NAS1635-04-4	SCREW, PAN HD, CROSS RECESS	
1	1	1	1	103	2021339-010	SPACER (TEFLON)	
1	1	1	1	102	2021339-007	SPACER (TEFLON)	
2	2	2	2	101	2021339-006	SPACER (TEFLON)	
1	1	1	1	100	2021339-005	SPACER (TEFLON)	
1	1	1	1	99	2021339-003	SPACER (TEFLON)	
1	1	1	1	98	2021339-001	SPACER (TEFLON)	
1	1	1	1	97	2021338-010	SPACER (ACLAR)	
1	1	1	1	96	2021338-007	SPACER (ACLAR)	
2	2	2	2	95	2021338-006	SPACER (ACLAR)	
1	1	1	1	94	2021338-005	SPACER (ACLAR)	
1	1	1	1	93	2021338-003	SPACER (ACLAR)	
1	1	1	1	92	2021338-001	SPACER (ACLAR)	
1	1	1	1	91	2021330	COVER, PROTECTIVE	
1	1	1	1	90	2021329	COVER, PROTECTIVE	
1	1	1	1	89	MS51923-187	PIN, ROL	
1	1	1	1	88	NAS1081CO4D4L	SCREW, SET SELF LOCKING	
2	2	2	2	87	MS15795-805	WASHER, FLAT	
1	1	1	1	86	MS24693-C8	SCREW, FL HD, CROSS RECESS	
2	2	2	2	85	1001489-18	SCREW, SOC HD CAP	
1	1	1	1	84	2021347	SPACER, BRACKET	
1	1	1	1	83	2021345-011	BRACKET, SWITCH MTG	
AR	AR	AR	AR	82	1010661	EPOXY RESIN	
AR	AR	AR	AR	81	1010679	ADHESIVE, ACTIVATOR	
8	8	8	8	80	MS35649-24	HUT, HEX, PLAIN	
AR	AR	AR	AR	79	1010683	CURING AGENT, AMINE	
AR	AR	AR	AR	78	1010682	EPOXY RESIN	
AR	AR	AR	AR	77	1010702	SOLUTION, ETCHING, TEFLON	
2	2	2	2	76	NAS1081CO4D3L	SCREW, SET, SELF LOCK	
1	1	1	1	75	2014655	WHEEL, CONTROL	
2	2	2	2	74	1008943-006 OR 1008944-006	LAMP, ELECTROLUMINESCENT	
4	4	4	4	73	1010630-4	SCREW, FLAT HD, HEX SOC.	
8	8	8	8	72	1010618-7	SCREW, BUTTON HD, HEX SOC.	
AR	AR	AR	AR	71	1010657	EPOXY RESIN	
AR	AR	AR	AR	70	1010686	CATALYST	
7	7	7	7	69	2014706	RETAINER, LAMP	
1	1	1	1	68	2021340	GUARD, THUMBWHEEL	
6	6	6	6	67	1001489-4	SCREW, SOC HD CAP	
AR	AR	AR	AR	66	QQ-W-343 TYPE S	WIRE, ELECT., 24 AWG	
4	4	4	4	65	1010617-2	NUT, HEX, SELF-LOCKING	
7	7	7	7	64	1001489-6	SCREW, SOC HD CAP	
3	3	3	3	63	1010617-4	NUT, HEX, SELF-LOCKING	
5	5	5	5	62	MS15795-803	WASHER, FLAT	
1	1	1	1	61	1006783-18	SCREW, BUTTON HD, HEX SOC.	
4	4	4	4	60	1006783-21	SCREW, BUTTON HD, HEX SOC.	
4	4	4	4	59	NAS1352CO2-4	SCREW, SOC HD CAP	
2		2	2	58	NAS1352CO2LL3	SCREW, SOC HD CAP, SELF LOCKING	
1		1	1	57	2021311	PLATE, SWITCH BLOCKOUT	
1		1	1	56	2021200	BUSHING, SWITCH BLOCKOUT	
			1	55	2021334	PANEL, LAMP RETAINER – (MAJ MOD)	
			1	54	2021325	PANEL, LAMP RETAINER – (OPTICS)	
			1	53	2021320	PANEL, LAMP RETAINER – (UP TEL)	
			1	52	2021308	PANEL, LAMP RETAINER – (M-M REJ)	
			1	51	2021335	PANEL, LAMP RETAINER – (VERB-NOUN)	
1	1	1	1	50	1008943-010 OR 1008944-010	LAMP, ELECTROLUMINESCENT	
1	1	1	1	49	1008943-007 OR 1008944-007	LAMP, ELECTROLUMINESCENT	
1	1	1	1	48	1008943-005 OR 1008944-005	LAMP, ELECTROLUMINESCENT	
1	1	1	1	47	1008943-003 OR 1008944-003	LAMP, ELECTROLUMINESCENT	
2	2	2	2	46	2021337	RETAINER, LAMP	
8	8	8	8	45	1010477-12	SCREW, FLAT HD SELF LOCKING	
			1	44	1004260-567	NAMEPLATE	
4	4	4	4	43	2021300	RECEPTACLE, TURNLOCK	
4	4	4	4	42	1010477-13	SCREW, FLAT HD SELF LOCKING	
4	4	4	4	41	1010676-1	TERMINAL	
26	26	26	26	40	1010623-3	TERMINAL, TURRET	
5	5	5	5	39	1001489-2	SCREW, SOCKET HD CAP	
43	43	43	43	38	MS24693-C3	SCREW, FLAT HEAD, CROSS RECESS	
42	42	42	42	37	NAS1635-02-3	SCREW, PAN HD, CROSS RECESS	X
2	2	2	2	36	2021301-011	HANDLE ASSEMBLY	
1	1	1	1	35	2014656-041	RETICLE BRIGHTNESS CONTROL	
15	15	15	15	34	1011918-1	WASHER – CABLE CLAMP	
1		1	1	33	2021309	HARNESS	
1	1	1	1	32	1010625-2	LIGHT, INDICATOR	
1	1	1	1	31	2021327	CAP, PUSHBUTTON	
AR	AR	AR	AR	30	1012504-2	PRIMER, METAL	
AR	AR	AR	AR	29	1012504-1	PRIMER, METAL	
15	15	15	15	28	1000220-1 THRU -19	CLAMP, CABLE	
AR	AR	AR	AR	27	1012503-1	COMPOUND, POLYURETHANE	
AR	AR	AR	AR	26	1012503-2	COMPOUND, POLYURETHANE	
1	1	1	1	25	2021328	CAP, PUSHBUTTON	
AR	AR	AR	AR	24	QQ-S-571 SN60 WRAP2	SOLDER	
AR	AR	AR	AR	23	MIL-F-14256	FLUX	
1	1	1	1	22	2021310	PANEL G&N IND CONT (INSEPARABLE)	
1	1	1	1	21	2014627	SUPPORT, HAND CONTROLLER	
X		X		REF	2021307	SCHEMATIC DIAGRAM	
1	1	1	1	19	2014658	SUPPORT, SWITCH	
1	1	1	1	18	1010268-5	LAMP, INCANDESCENT	
