0	FIND	DRAWING	TITLE	STRIKE
1	32	2021310-023	BAR, END MOUNTING L.H.	
1	31	2021310-022	BAR, END MOUNTING R.H.	
6	30	NAS1330CO6K161	RIVET, BLIND	
5	29	NAS1330CO6K106	RIVET, BLIND	
1	28	2021333	BRACKET, ANGLE	
1	27	2021332	BRACKET, ANGLE	
1	26	2021331	BRACKET, ANGLE	
6	25	2021310-021	FACE PAD	
1	24	2021310-020	INSERT, CORE PLATE	
6	23	1000115-3	INSERT, THREADED	
48	22	1000115-4	INSERT, THREADED	
42	21	1000115-2	INSERT, THREADED	
	20			
2	19	2051310-019	INSERT, CORE PLUG	
2	18	2051310-018	INSERT, CORE PLUG	X
4	17	2051310-017	INSERT, CORE PLUG	X
54	16	2051310-016	INSERT, CORE PLUG	
1	15	2051310-015	FACE PAD	
1	14	2051310-014	FACE PAD	
1	13	2051310-013	FACE PAD	
11	12	2051310-012	INSERT, CORE PLUG	
2	11	2051310-011	INSERT, CORE PLUG	X
2	10	2051310-010	FACE PAD	
2	9	2051310-009	FACE PAD	
2	8	2051310-008	FACE PAD	
1	7	2051310-007	FACE PANEL	
1	6	2051310-006	FACE PANEL	
1	5	2051310-005	FACE PANEL	
1	4	2051310-004	FACE PANEL	
1	3	2051310-003	CORE HONEYCOMB PAD	
1	2	2051310-002	CORE HONEYCOMB PAD	
1	1	2051310-001	CORE HONEYCOMB PANEL	
				
			PROOFED	
