FIND	0	DRAWING	TITLE	STRIKE
1	5 FT	1010789-006	WIRE, 22 AWG, YEL	
2	5 FT	1010789-016	WIRE, 26 AWG, YEL	
3	10 FT	1010789-008	WIRE, 22 AWG, YEL, RED	
4	10 FT	1010789-003	WIRE, 24 AWG, YEL, RED	
5	10 FT	1010789-017	WIRE, 26 AWG, YEL, RED	
6	10 FT	1010789-009	WIRE, 22 AWG, YEL, RED, GRN	
7	5 FT	1010789-018	WIRE, 26 AWG, YEL, RED, GRN	
8	75 FT	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
9	25 FT	1010789-002	WIRE, 24 AWG, BLK	
10	1	2014742-031	CONNECTOR, ASSEMBLY, ELECTGRICAL (56P18)	
11	1	1010771-201	CONNECTOR, PLUG, ELECTRICAL (P13)	
12	1	1010929-017	CONNECTOR, PLUG, ELECTRICAL (P14)	
REF	X	1010770-2	CONTACT SOCKET, SUPPLIED WITH CONNECTORS 1010929 AND 1010771	
14	41	1010955-1	CONTACT, MALE	
15	52	1010955-2	CONTACT, MALE	
17	17	1010958-1	PLUG, PROTECTIVE SEALING	
18	24	1010402-2	SLEEVE, SOLDER	
19	21	1012534-36	INSULATION, SLEEVING, ELEC (HEAT SHRINKABLE)	
22	AR	1012504	PRIMER, METAL PARTS	
23	1	2014670-4	ADAPTOR, CONNECTOR	
24	1	2014670-10	ADAPTOR, CONNECTOR	
27	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4 INCH WIDE	X
28	AR	1008960-002	TAPE, TEFLON, 1 INCH WIDE	
29	AR	1010679	ADHESIVE, ACTIVATOR	
30	AR	1010661	EPOXY RESIN	
31	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
32	5 FT	1010789-011	WIRE, 24 AWG, YEL, YEL JKT	
33	1	1012534-38	INSULATION, SLEEVING (HEAT SHRINKABLE)	
34	93	1010490-114	INSULATION, SLEEVING (HEAT SHRINKABLE)	
36	AR	1008936-001	TAPE, LACING	
37	AR	1008937-001	TAPE, ALUMINUM FOIL	
38	AR	1008937-002	TAPE, ALUMINUM FOIL	
39	AR	1008937-003	TAPE, ALUMINUM FOIL	
40	1	1008940-001	BAND, MARKER	
41	1	1008940-003	BAND, MARKER	
42	AR	1008937-007	TAPE, ALUMINUM FOIL	
43	AR	1008937-005	TAPE, ALUMINUM FOIL	X
44	AR	1010748	RESIN, EPOXY	
45	AR	1010750	CURING AGENT, POLYAMIDE	
46	AR	1008936-003	TAPE, LACING AND TYING	
				
			PROOFED	
