FIND	0	DRAWING	TITLE	STRIKE
1	5 FT	1010789-006	WIRE, 22 AWG, YEL	
2	65 FT	1010789-016	WIRE, 26 AWG, YEL	
3	5 FT	1010789-011	WIRE, 24 AWG, YEL, YEL JKT	
4	5 FT	1010789-008	WIRE, 22 AWG, YEL, RED	
5	50 FT	1010789-017	WIRE 26 AWG, YEL, RED	
6	60 FT	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
7	5 FT	1010789-018	WIRE, 26 AWG, YEL, RED, GRN	
8	5 FT	1010789-013	WIRE, 24 AWG, YEL, RED, GRN, YEL JKT	
9	78 FT	1010789-002	WIRE, 24 AWG, BLK	
10	50 FT	1010789-024	WIRE, 26 AWG, BLK	
11	1	1010930-009	CONNECTOR, RECEPTACLE, ELECTRICAL (56J1)	
12	1	1010930-105	CONNECTOR, RECEPTACLE, ELECTRICAL (56J2)	
13	1	1010930-002	CONNECTOR, RECEPTACLE, ELECTRICAL (56J3)	
14	1	1010930-001	CONNECTOR, RECEPTACLE, ELECTRICAL (56J4)	
REF	X	1010770-1	CONTACT, PIN, SUPPLIED WITH CONNECTOR 1010930	
REF	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010930	
17	67	1010955-001	CONTACT, MALE	
18	132	1010955-002	CONTACT, MALE	
19	52	1010958-001	PLUG, PROTECTIVE, DUST AND MOISTURE SEAL	
20	78	1010402-2	SLEEVE, SOLDER, HIGH TEMPERATURE	
21	1	2014670-004	ADAPTER, CONNECTOR	
22	1	2014670-012	ADAPTER, CONNECTOR	
23	1	2014670-007	ADAPTER, CONNECTOR	
25	AR	1008960-002	TAPE, TEFLON, 1 INCH WIDE	
26	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4 INCH WIDE	X
28	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
29	AR	1010679	ADHESIVE, ACTIVATOR	
30	AR	1010661	EPOXY RESIN	
33	AR	1012504	PRIMER, METAL PARTS	
34	16 FT	1010989	TAPE, SHIELDING, EMI/RFI	
37	1	2014744-031	CONNECTOR, PLUG, ELECTRICAL (56P17)	
39	2	2021203	TERMINAL LUG, SOLDER	
40	2	MS35333-69	WASHER, LOCK	
41	2	1006783-93	SCREW, BUTTON HEAD, HEX SOCKET	
42	2 FT	QQ-B-575 1/8 DIA	WIRE, BRAID, 36 AWG	
43	1	2014670-011	ADAPTER, CONNECTOR	
44	2	2010725-011	NUT PLATE ASSEMBLY	
45	1	2010725-021	NUT PLATE ASSEMBLY	
46	1	2010725-031	NUT PLATE ASSEMBLY	
47	AR	1010682	EPOXY, RESIN	
48	AR	1010683	CURING AGENT, AMINE	
49	199	1010490-114	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINK	
50	AR	QQ-S-571 SN60WRAP	SOLDER	
51	AR	QQ-S-571 SN60WS	SOLDER	
52	AR	MIL-F-14256 TYPE A OR W	FLUX	
53	4	1010402-1	SLEEVE, SOLDER, HIGH TEMPERATURE	
54	AR	1008822	COLORANT, EPOXY BASE	
55	AR	1006277	SILICA, PULVERIZED PYROGENIC	
56	4	1010811-002	BAND, CABLE	
57	AR	1008936-002	TAPE, LACING AND TYING	
59	AR	1008937-001	TAPE, ALUMINUM FOIL	
60	AR	1008937-002	TAPE, ALUMINUM FOIL	
61	AR	1008937-003	TAPE, ALUMINUM FOIL	
62	4	1008940-001	BAND, MARKER	
63	AR	1008937-007	TAPE, ALUMINUM FOIL	
64	AR	1010748	RESIN, EPOXY	
65	AR	1010750	CURING AGENT, POLYAMIDE	
66	AR	1008936-003	TAPE, LACING AND TYING	
				
			PROOFED	
