FIND	0	DRAWING	TITLE	STRIKE
1	5'	1010789-016	WIRE, 26 AWG, YEL	
2	5'	1010789-008	WIRE, 22 AWG, YEL, RED	
3	10'	1010789-003	WIRE, 24 AWG, YEL, RED	
4	5'	1010789-009	WIRE, 22 AWG, YEL, RED, GRN	
5	20'	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT	
6	10'	1010789-002	WIRE, 24 AWG, BLK	
7	1	2014746-031	CONNECTOR, PLUG, ELECTRICAL (56P28)	
8	1	1010771-207	CONNECTOR, PLUG, ELECTRICAL (56P23)	
REF	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTOR 1010771	
10	26	1010955-1	CONTACT, MALE	
11	17	1010955-2	CONTACT, MALE	
12	1	2014670-5	ADAPTOR, CONNECTOR	
13	24	1010958-1	PLUG, PROTECTIVE SEALING	
14	10	1010402-2	SLEEVE, SOLDER	
16	AR	1008960-002	TAPE, TEFLON, 1" WIDE	
17	AR	MIL-T-23594	TAPE, TEFLON, TYPE II, 1/4" WIDE	X
19	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
20	AR	1012504	PRIMER, METAL PARTS	
21	AR	1010679	ADHESIVE ACTIVATOR	
24	AR	1010661	EPOXY RESIN	
25	6	1012534-36	SLEEVING, ELECTRICAL (HEAT SHRINKABLE)	
26	43	1010490-114	INSULATION SLEEVING (HEAT SHRINKABLE)	
28	AR	1008936-001	TAPE, LACING	
29	AR	1008937-001	TAPE, ALUMINUM FOIL	
30	AR	1008937-002	TAPE, ALUMINUM FOIL	
31	AR	1008937-003	TAPE, ALUMINUM FOIL	
32	1	1008940-001	BAND, MARKER	
33	AR	1008937-007	TAPE, ALUMINUM FOIL	X
34	AR	1010748	RESIN, EPOXY	
35	AR	1010750	CURING AGENT, POLYAMIDE	
				
			PROOFED	
