FIND	0	DRAWING	TITLE
2	240'	1010789-006	WIRE, 22 AWG, YEL
3	170'	1010789-016	WIRE, 26 AWG, YEL
4	10'	1010789-008	WIRE, 22 AWG, YEL, RED
5	8'	1010789-017	WIRE, 26 AWG, YEL, RED
8	20'	1010789-015	WIRE, 26 AWG, YEL, RED, YEL JKT
9	5'	1010789-024	WIRE, 26 AWG, BLK
11	5'	1010789-002	WIRE, 24 AWG, BLK
12	1	2014748-031	CONNECTOR, PLUG, ELECTRICAL, (56P27)
13	1	1010929-003	CONNECTOR, PLUG, ELECTRICAL, (56P25)
14	1	1010921-1	CONNECTOR, PLUG, ELECTRICAL, (56P30)
15	1	1010921-2	CONNECTOR, PLUG, ELECTRICAL, (56P31)
16	1	1010930-003	CONNECTOR, RECEPTACLE, ELECTRICAL (56J5)
18	36	1010932-2	CONTACT, PIN
REF	X	1010770-2	CONTACT, SOCKET, SUPPLIED WITH CONNECTORS 1010929 AND 1010930
20	51	1010955-1	CONTACT, MALE
21	6	1010955-2	CONTACT, MALE
22	2	2014670-13	ADAPTER, CONNECTOR
23	7	1010983-1	PLUG, PROTECTIVE SEALING
24	39	1010958-1	PLUG, PROTECTIVE SEALING
29	AR	1010989	TAPE, SHIELDING, EMI/RFI
32	AR	1008960-002	TAPE, TEFLON, 1" WIDE
33	0	MIL-T-23594	DELETED
34	AR	1012503	COMPOUND, POTTING, POLYURETHANE
35	AR	1012504	PRIMER, METAL PARTS
38	AR	1010661	EPOXY RESIN
39	AR	1010679	ADHESIVE ACTIVATOR
50	4	2021203	TERMINAL LUG SOLDER
51	4	MS35333-69	WASHER, LOCK
52	4	1006783-93	SCREW, BUTTON HD
53	13	1010402-2	SLEEVE, SOLDER
57	10'	QQ-B-575 .12 DIA 36 AWG	WIRE BRAID
59	1	1012534-36	SLEEVING, INSULATION, ELEC (HEAT SHRINKABLE)
60	1	2010725-011	NUT PLATE ASSEMBLY 
61	AR	1010682	EPOXY RESIN
62	AR	1010683	CURING AGENT, AMINE
63	AR	QQ-S-571 SN60WRAP	SOLDER
64	AR	QQ-S-571 SN60WS	SOLDER
65	AR	MIL-F-14256 TYPE A OR W	FLUX
66	57	1010490-114	INSULATION SLEEVING (HEAT SHRINKABLE)
67	5'	2021319-009	WIRE, 24 AWG, YEL, RED, YEL JKT
68	AR	1008822	COLORANT, EPOXY BASE
69	AR	1006277	SILICA, PULVERIZED PYROGENIC
70	4	1010811-002	BAND, CABLE
72	AR	1008936-001	TAPE, LACING AND TYING
73	AR	1008937-001	TAPE, ALUMINUM FOIL
74	AR	1008937-002	TAPE, ALUMINUM FOIL
75	AR	1008937-003	TAPE, ALUMINUM FOIL
76	AR	1008937-005	TAPE, ALUMINUM FOIL
77	4	1008940-001	BAND, MARKER
78	AR	1008937-007	TAPE, ALUMINUM FOIL
79	AR	1010748	RESIN, EPOXY
80	AR	1010750	CURING AGENT, POLYAMIDE
			
			PROOFED
