-181	-171	-161	-151	-141	-131	-121	-111	-101	-91	-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	52	1012507-002	TAPE – LACING
1																		51	2021602-091	SHROUDED UNIT ASSEMBLY
	1																	50	2021602-101 OR 2021602-081	SHROUDED UNIT ASSEMBLY
		1																49	2021602-071	SHROUDED UNIT ASSEMBLY
			1															48	2021602-061	SHROUDED UNIT ASSEMBLY
				1														47	2021602-051	SHROUDED UNIT ASSEMBLY
					1													46	2021602-041	SHROUDED UNIT ASSEMBLY
						1												45	2021602-031	SHROUDED UNIT ASSEMBLY
1	1	1	1	1	1	1	1		1									44	2021805-041	PLATE MOUNTING & HARNESS ASSY
AR	AR	AR	AR	AR	AR	AR	AR		AR									43	1010416-1	WIRE, ELEC., 28 AWG, BLK.
1	1	1	1	1	1	1	1		1									42	1010717-4	TERMINAL LUG
									1									41	2021602-021	SHROUDED UNIT ASSEMBLY
AR	AR	AR	AR	AR	AR	AR	AR		AR									40	1006277	SILICA
1	1	1	1	1	1	1	1		1									39	1006777-30	CAPACITOR, FIXED, CERAMIC, DIELECTRIC
AR	AR	AR	AR	AR	AR	AR	AR		AR									38	1006776-20	INSULATION SLEEVING ELECTRICAL
								1										37	2021805-031	PLATE MOUNTING & HARNESS ASSY
										1								36	2021805-021	PLATE MOUNTING & HARNESS ASSY
2	2	2	2	2	2	2	2	3	2	2	3							35	1011625-016	SCREW, CAP, HEX, SOC HD, SELF-LKG
											1							34	2021805	PLATE MOUNTING & HARNESS ASSY
												4	4					33	1011625-018	SCREW, CAP, HEX, SOC HD, SELF-LKG
												1	1					32	2021789-001	COVER, WIRE
								1		1	1	1	1					31	2021803	GROUND WIRE
1	1	1	1	1	1	1	1	1	1	1	1	1	1					30	2021594	RESISTOR, R-5
1	1	1	1	1	1	1	1	1	1	1	1	1	1					29	2021594	RESISTOR, R-4
1	1	1	1	1	1	1	1	1	1	1	1	1	1					28	2021594	RESISTOR, R-3
												1	1					27	2021790-021	PLATE MOUNTING & HARNESS ASSY
AR	AR	AR	AR	AR	AR	AR	AR		AR			AR	AR					26	1010679	ADHESIVE ACTIVATOR
AR	AR	AR	AR	AR	AR	AR	AR		AR			AR	AR					25	1010661	ADHESIVE, C-7
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	24	COML	SOLDER SN60
							1	1		1	1	1	1	1	1			23	2021602-011	SHROUDED UNIT ASSEMBLY
1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	1” LONG	22	COML	WIRE, AWG 28, TIN COATED, DR. & LNL., TYPE S
												1		1		1		21	2021792-27	RESISTOR R1
												1		1		1		20	2021793-011	IRIG PREAMP ASSY
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	1006750	RESISTOR, R6
														1	1	1	1	18	2021505	RESISTOR, R5
														1	1	1	1	17	2021505	RESISTOR, R4
														1	1	1	1	16	2021505	RESISTOR, R3
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	2021504	RESISTOR, R2
1	1	1	1	1	1	1	1	1	1	1	1		1		1		1	14	2021504-27	RESISTOR, R1
														1	1	1	1	13	2021790-011	PLATE MOUNTING & HARNESS ASSY
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	12	2021527	FLUX, SOLDERING
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	11	1010618-12	SCREW, BUT. HD., SELF-LOCKING, SOC-HD.
												1	1	1	1	1	1	10	NAS1352CO3-6	SCREW, CAP, SOC. HD.
2	2	2	2	2	2	2	2	1	2	2	1	4	4	4	4	4	4	9	1011625-17	SCREW, CAP, HEX. SOC. HD. SELF-LKG
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	2021777	SLEEVE, WIRE, RETAINER
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	7	1006879	SILICONE, COMPOUND THERMO
												1	1	1	1	1	1	6	2021789-000	COVER, WIRE
1	1	1	1	1	1	1	1	1	1	1	1		1		1		1	5	2021785-011	IRIG PREAMP ASSY
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2021503	GYRO SUSPENSION CAPACITOR ASSY
												1		1		1		3	2021694	HEATER & END MOUNT ASSY
1	1	1	1	1	1	1	1	1	1	1	1		1		1		1	2	2021501	HEATER & END MOUNT ASSY
																1	1	1	2021602-000	SHROUDED UNIT ASSEMBLY
																				
																				PROOFED
