-041	-031	-021	-011	FIND	DRAWING	TITLE
6	6			15	2898960	DISC AND SEAL
1		1		14	1025713	NAVIGATION BASE, INSEP ASSY (BLK II)
AR	AR	AR	AR	13	MIL-T-27730	TAPE, ANTISEIZE
5	5	5	5	12	2899996-002	THUMBSCREW, PROTECTIVE
2	2	2	2	11	-001	THUMBSCREW, PROTECTIVE
1	1	1	1	10	1004260-100	NAMEPLATES, APOLLO G&N/GSE
AR	AR	AR	AR	9	1012543-003	PAINT, ENAMEL
AR	AR	AR	AR	8	MIL-P-8585	PRIMER COATING, ZINC CHROMATE
4	4	4	4	7	1010802-002	INSERT, FLOATING, LOCKING THD
8	8	8	8	6	1010867-3	SCREW, FLAT HEAD, SELF LOCK
8	8	8	8	5	MS171494	PIN, SPRING
3	3	3	3	4	MS21209-F4-15	(1897059-204) INSERT, LOCKING
3	3	3	3	3	1899965	INSERT – OPTICS MOUNTING
4	4	4	4	2	2899995	THUMBSCREW, PROTECTIVE
	1		1	1	2899981	BASE, NAVIGATION, INSEP ASSY
						
						PROOFED
