-051	-041	-031	-021	-011	DRAWING	TITLE	FIND
AR	AR	AR	AR	AR	1008985	GREASE, FLUORINATED	36
AR	AR	AR	AR	AR	1008930	GREASE, MOLYBDENUM DISULFIDE	35
1	1				2018773	VALVE, ASSEMBLY	34
1	1				2010784-003	GASKET, SEALING & PLATE TEST CONN.	33
1	1				2010784-002	GASKET, SEALING PLATE, OUTPUT CONN.	32
1	1				2010784-005	GASKET, RETAINED	31
1	1				6010657	COVER, INSEP ASSEMBLY	30
1	1				6007102-021	HEADER ASSEMBLY	29
	1	1			2007166-011	PULSE TORQUE POWER SUPPLY	28
20	20		20		1008874-019	SCREW CAP SOCKET HEAD	27
			1		6007102-011	HEADER ASSEMBLY	26
4	4	4	4	4	2004148-004	WASHER, FLAT	25
20	20	20	20	20	-003	WASHER, FLAT	24
4	4	4	4	4	1004546-3	WASHER, FLAT	23
1	1	1	1	1	1000159-5	PACKING, PREFORMED, “O” RING	22
		1	1	1	2007213-011	VALVE, ASSEMBLY	21
36	36	36	36	36	2008033-1	WASHER, FLAT	20
4	4	4	4	4	NAS1352-08-8	SCREW CAP SOCKET HEAD	19
		20		20	NAS1350-06-8	SCREW CAP SOCKET HEAD	18
36	36	36	36	36	1010977-001	SCREW, CAPTIVE	17
1	1	1	1	1	6007005-011	PULSE TORQUE ISOLATION TRANSFORMER	16
1			1	1	2007106-011	PULSE TORQUE POWER SUPPLY	15
3	3	3	3	3	6007105-011	LEM PIPA CALIBRATION	14
3	3	3	3	3	2007104-011	AC DIFF AMPL & INTERROGATOR	13
4	4	4	4	4	2007103-011	BINARY CURRENT SWITCH	12
1	1	1	1	1	2007102-011	GYRO CALIBRATION	11
4	4	4	4	4	2007101-011	DC DIFF AMPLY & PVR	10
4	4	4	4	4	1008835-002	BUSHING, SEAL	9
		1	1	1	1010962-001	GASKET, SEALING PLATE, TEST CONN	8
		1	1	1	1010961-001	GASKET, SEALING PLATE, OUTPUT CONN.	7
4	4	4	4	4	1010975	GASKET, RETAINED	6
		1	1	1	1010973	GASKET, RETAINED	5
1	1	1	1	1	1004260-154	NAMEPLATE	4
1	1	1	1	1	6008010	COVER, JUNCTION TEST CONN	3
		1	1	1	6008030	COVER	2
		1		1	6007002-011	HEADER ASSEMBLY	1
							
						PROOFED	
