-121	-111	-101	-091	-081	-071	-061	-051	-041	-031	-021	-011	DRAWING	TITLE	FIND
1												2018601-221	INERTIAL MEASURING UNIT	14
	1											-211	INERTIAL MEASURING UNIT	13
		1										-191	INERTIAL MEASURING UNIT	12
			1									-151	INERTIAL MEASURING UNIT	11
				1								-111	INERTIAL MEASURING UNIT	10
					1							-071	INERTIAL MEASURING UNIT	9
						1						6007000-051	PULSE TORQUE ASSEMBLY	8
1	1	1	1	1	1		1					-041	PULSE TORQUE ASSEMBLY	7
						1	1	1				2018601-051	INERTIAL MEASURING UNIT	6
									1			-031	INERTIAL MEASURING UNIT	5
								1		1		6007000-021	PULSE TORQUE ASSEMBLY	4
										1		2018601-041	INERTIAL MEASURING UNIT	3
									1		1	6007000-011	PULSE TORQUE ASSEMBLY	2
											1	2018601-011	INERTIAL MEASURING UNIT	1
														
													PROOFED	
