-011	DRAWING	TITLE	FIND
X	6010002	SCHEMATIC	REF
			
			
AR	1010848-2	WIRE, ELECTRICAL	17
6	1006319	TRANSFORMER	16
4	1010968	TRANSFORMER	15
4	1008540-11	GASKET, CONNECTOR, MINAT	14
1	2008093-000	TERMINAL, THREADED	13
2	1015135-003	SPACER, NYLON	12
4	1008161-3	SCREW, CAP SLOTTED HEAD, SPECIAL	11
			10
AR	1006776-21	INSULATION, SLEEVING	9
AR	1006776-20	INSULATION, SLEEVING	8
			7
AR	1006757-1	WIRE, ELECTRICAL	6
44	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	5
44	1006782-2	CONTACT, WRAPOST – MALE MINIATURE	4
1	6008004	WIRING BOARD, BOTTOM	3
1	6008006	WIRING BOARD, TOP	2
1	6008002	FRAME	1
			
		PROOFED	
