-031	-021	-011	DRAWING	TITLE	FIND
1	1		6008100	HEADER – INSEP ASSY	11
15	15	15	1008819-001	SLEEVE, MINIATURE GROUNDING	10
15	15	15	1008818-002	CONTACT, WRAPOST – MINIATURE FEMALE GROUND	9
12	12	12	1010995-001	INSULATOR, WRAPOST – FEEDTHRU	8
12	12	12	1010994-001	TERMINAL WIRE WRAP	7
2	2	2	MS16555-617	PIN, GUIDE	6
2	2	2	MS16555-627	PIN, GUIDE	5
28	28	28	1010620-7	PIN, GUIDE	4
550	550	550	1006774	INSULATOR, WRAPOST – FEMALE, MINIATURE	3
550	550	550	1006781-3	CONTACT, WRAPOST – FEMALE, MINIATURE	2
		1	6008000	HEADER, LEM	1
					
				PROOFED	
